	D36E_Col	D36E_Kb	D36E_FC	D36E_DEG	OG	KO.id	KO.description
PSPTO_0731	4.61408691214632	4.39249408604785	0.22159282609847	nonDEG	OG0003874		
PSPTO_0732	4.76325998689343	5.18802837542156	-0.42476838852813	nonDEG	OG0000877	K00329	E7.1.1.2; NADH dehydrogenase [EC:7.1.1.2]
PSPTO_0733	5.33125228142361	6.48905311957923	-1.15780083815562	down	OG0002487		
PSPTO_0734	5.07876894883337	5.88626109989724	-0.80749215106387	nonDEG	OG0001084	K07068	uncharacterized protein
PSPTO_0735	2.32061014147912	2.55211080997032	-0.2315006684912	nonDEG	OG0003499		
PSPTO_0736	1.49033952745086	2.12710710708897	-0.63676757963811	nonDEG	OG0001319	K05339	lrgB; holin-like protein LrgB
PSPTO_0737	5.07623745146345	4.88767359309497	0.18856385836848	nonDEG	OG0002046	K07157	uncharacterized protein
PSPTO_0738	7.08300622007619	6.25565118804136	0.827355032034831	nonDEG	OG0002240		
PSPTO_0739	5.94540845878439	6.2461780673002	-0.30076960851581	nonDEG	OG0003485		
PSPTO_0740	5.83186462437798	4.88291491291445	0.94894971146353	nonDEG	OG0003484	K06219	smtA; S-adenosylmethionine-dependent methyltransferase
PSPTO_0741	4.40450738323723	3.36462500552121	1.03988237771602	nonDEG	OG0003047		
PSPTO_0742	7.16993561257106	3.69124159132976	3.4786940212413	up	OG0002149		
PSPTO_0743	10.4880807448263	6.12675212344504	4.36132862138126	up	OG0002148	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
PSPTO_0744	5.81005486931239	3.74832847372804	2.06172639558435	up	OG0001507	K00626	E2.3.1.9; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
PSPTO_0745	3.42606422246898	3.5593885240669	-0.13332430159792	nonDEG	OG0006467		
PSPTO_0746	4.83971776681168	6.49072681784595	-1.65100905103427	down	OG0004894		
PSPTO_0747	5.40395084020159	6.6587961937884	-1.25484535358681	down	OG0001637	K14347	SLC10A7; solute carrier family 10 (sodium/bile acid cotransporter), member 7
PSPTO_0748	6.97766594692283	7.10424732914937	-0.12658138222654	nonDEG	OG0002243	K07178	RIOK1; RIO kinase 1 [EC:2.7.11.1]
PSPTO_0749	6.06397473152941	4.18570562950629	1.87826910202312	up	OG0000050	K19591	cueR; MerR family transcriptional regulator, copper efflux regulator
PSPTO_0750	9.4351539060225	6.94534366970652	2.48981023631598	up	OG0000085	K01533	copB; Cu2+-exporting ATPase [EC:3.6.3.4]
PSPTO_0751	5.56822695663214	5.61177558556288	-0.0435486289307399	nonDEG	OG0003489		
PSPTO_0752	4.40820661795212	2.01489462529833	2.39331199265379	up	OG0000468	K07213	ATOX1; copper chaperone
PSPTO_0753	5.96436834498517	5.37732275068084	0.58704559430433	nonDEG	OG0000142	K07552	bcr; MFS transporter, DHA1 family, multidrug resistance protein
PSPTO_0754	6.50671067881194	3.12253736628367	3.38417331252827	up	OG0000936		
PSPTO_0755	3.63303452452707	4.96564568986512	-1.33261116533805	nonDEG	OG0000006		
PSPTO_0756	5.15274747732018	1.6145862428401	3.53816123448008	up	OG0001992		
PSPTO_0757	8.61054644013077	7.63700949958594	0.973536940544831	nonDEG	OG0001317	K21053	ade; adenine deaminase [EC:3.5.4.2]
PSPTO_0758	4.53576681434157	3.78223392983822	0.75353288450335	nonDEG	OG0001402		
PSPTO_0759	7.02520816413351	5.9388240494972	1.08638411463631	up	OG0002078	K02058	ABC.SS.S; simple sugar transport system substrate-binding protein
PSPTO_0760	1.67376479833624	2.99026796000493	-1.31650316166869	nonDEG	OG0000114	K02013	ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]
PSPTO_0761	2.158303142331	4.17299213792525	-2.01468899559425	nonDEG	OG0000073	K02015	ABC.FEV.P; iron complex transport system permease protein
PSPTO_0762	3.26064106459713	6.38315402334014	-3.12251295874301	down	OG0000073	K02015	ABC.FEV.P; iron complex transport system permease protein
PSPTO_0763	2.34858071225393	3.28112545576874	-0.93254474351481	nonDEG	OG0000527	K02016	ABC.FEV.S; iron complex transport system substrate-binding protein
PSPTO_0764	3.39685323161013	4.23937665594252	-0.84252342433239	nonDEG	OG0001700	K07300	chaA; Ca2+:H+ antiporter
PSPTO_0765	5.58262733039409	5.35490474284792	0.22772258754617	nonDEG	OG0000655	K12960	mtaD; 5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]
PSPTO_0766	8.53248748414586	6.06134581043353	2.47114167371233	up	OG0002244		
PSPTO_0767	3.78888354874634	-0.00150755252586991	3.79039110127221	up	OG0001731	K02057	ABC.SS.P; simple sugar transport system permease protein
PSPTO_0768	3.1764843998803	3.42337578491199	-0.24689138503169	nonDEG	OG0001605	K02057	ABC.SS.P; simple sugar transport system permease protein
PSPTO_0769	4.67159050043785	3.34978170912895	1.3218087913089	nonDEG	OG0000045	K10441	rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]
PSPTO_0770	3.86738570380089	3.71640195275234	0.15098375104855	nonDEG	OG0001077		
PSPTO_0771	6.09693697286765	5.83338880848764	0.26354816438001	nonDEG	OG0000417	K09017	rutR; TetR/AcrR family transcriptional regulator
PSPTO_0772	6.56311457136764	7.07864430835621	-0.51552973698857	nonDEG	OG0000447	K16345	xanP; xanthine permease XanP
PSPTO_0773	2.77157069898678	3.35059013169243	-0.57901943270565	nonDEG	OG0000696	K21699	bauR; LysR family transcriptional regulator, transcriptional activator for bauABCD operon
PSPTO_0774	6.58295125070144	2.94584329682392	3.63710795387752	up	OG0000230	K00822	E2.6.1.18; beta-alanine--pyruvate transaminase [EC:2.6.1.18]
PSPTO_0775	3.78171892879986	1.94363484110213	1.83808408769773	nonDEG	OG0000324	K00140	mmsA; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
PSPTO_0776	6.39081789291241	6.41643647417819	-0.0256185812657801	nonDEG	OG0002066	K03583	recC; exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]
PSPTO_0777	6.13449834393033	7.58644988191321	-1.45195153798288	down	OG0001860	K03582	recB; exodeoxyribonuclease V beta subunit [EC:3.1.11.5]
PSPTO_0778	5.26720771549763	6.5807260483625	-1.31351833286487	down	OG0001123	K03581	recD; exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]
PSPTO_0779	1.71672722457686	2.63012942099312	-0.91340219641626	nonDEG			
PSPTO_0781	5.88989227967861	4.78166559759116	1.10822668208745	up	OG0000381		
PSPTO_0782	5.00316460230967	3.49903156829123	1.50413303401844	up	OG0000324	K00140	mmsA; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
PSPTO_0783	5.23841421437967	3.81320663908348	1.42520757529619	up	OG0000127	K00020	mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
PSPTO_0784	4.15504308972884	4.17852868788404	-0.0234855981552	nonDEG	OG0000316	K16092	btuB; vitamin B12 transporter
PSPTO_0785	4.84831319421123	4.5308849238621	0.31742827034913	nonDEG	OG0004862		
PSPTO_0786	3.6241921586746	3.7018857355578	-0.0776935768831999	nonDEG	OG0000003	K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
PSPTO_0787	6.78121921118654	6.29185112377271	0.489368087413831	nonDEG	OG0000183	K00681	ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
PSPTO_0788	3.96714813764095	3.67275454322287	0.29439359441808	nonDEG	OG0001128	K02042	phnE; phosphonate transport system permease protein
PSPTO_0789	0.754597646371044	3.8038008678834	-3.04920322151236	down	OG0001128	K02042	phnE; phosphonate transport system permease protein
PSPTO_0790	3.85104755596813	3.43796986408272	0.41307769188541	nonDEG	OG0003124	K02041	phnC; phosphonate transport system ATP-binding protein [EC:7.3.2.2]
PSPTO_0791	5.5586703616438	5.59210950614855	-0.0334391445047508	nonDEG	OG0001468	K02044	phnD; phosphonate transport system substrate-binding protein
PSPTO_0793	2.12481351700158	3.51177479970041	-1.38696128269883	nonDEG	OG0002759	K01008	selD; selenide, water dikinase [EC:2.7.9.3]
PSPTO_0794	3.98079258955055	2.79228922001513	1.18850336953542	nonDEG	OG0003070	K06917	selU; tRNA 2-selenouridine synthase [EC:2.9.1.-]
PSPTO_0795	1.9173401267032	4.40678549721889	-2.48944537051569	down	OG0002509	K07090	uncharacterized protein
PSPTO_0796	7.61879818461611	8.07997739569909	-0.461179211082981	nonDEG	OG0000686	K02523	ispB; octaprenyl-diphosphate synthase [EC:2.5.1.90]
PSPTO_0797	9.19244149407051	10.2238850498705	-1.03144355579999	down	OG0001121	K02888	RP-L21; large subunit ribosomal protein L21
PSPTO_0798	7.01492673406207	9.25162224762931	-2.23669551356724	down	OG0000984	K02899	RP-L27; large subunit ribosomal protein L27
PSPTO_0799	6.27868314714024	7.09444252991051	-0.81575938277027	nonDEG	OG0000983	K03979	obgE; GTPase [EC:3.6.5.-]
PSPTO_0800	5.90846338973474	4.50534014361538	1.40312324611936	up	OG0000982	K00931	proB; glutamate 5-kinase [EC:2.7.2.11]
PSPTO_0801	5.33782479825619	5.40052492346777	-0.0627001252115793	nonDEG	OG0002508	K05805	creA; CreA protein
PSPTO_0802	7.50440631424067	9.14103610932108	-1.63662979508041	down	OG0001050	K02968	RP-S20; small subunit ribosomal protein S20
PSPTO_0803	2.40322562961564	2.67048714643901	-0.26726151682337	nonDEG			
PSPTO_0804	4.88124058091273	5.72204787177412	-0.84080729086139	nonDEG	OG0001304	K03980	murJ; putative peptidoglycan lipid II flippase
PSPTO_0805	7.34658202008827	8.06733927988953	-0.72075725980126	nonDEG	OG0000735	K11753	ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]
PSPTO_0806	8.2733484258127	8.90851009444879	-0.635161668636091	nonDEG	OG0000658	K01870	IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]
PSPTO_0807	5.26269257284959	5.4505289544434	-0.18783638159381	nonDEG	OG0000534	K03101	lspA; signal peptidase II [EC:3.4.23.36]
PSPTO_0808	5.96457638185202	6.91111511135593	-0.94653872950391	nonDEG	OG0000554	K03775	slyD; FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]
PSPTO_0809	6.56615358198783	8.01524251990988	-1.44908893792205	down	OG0001051	K03527	ispH; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]
PSPTO_0810	2.67300746608666	3.4052525771623	-0.73224511107564	nonDEG	OG0003411	K08084	fimT; type IV fimbrial biogenesis protein FimT
PSPTO_0811	4.56321529436514	5.46337642184041	-0.90016112747527	nonDEG	OG0000298	K02655	pilE; type IV pilus assembly protein PilE
PSPTO_0812	5.04635532656317	5.21688520774379	-0.170529881180619	nonDEG	OG0002440	K02671	pilV; type IV pilus assembly protein PilV
PSPTO_0813	4.53975073539883	5.49682227990506	-0.95707154450623	nonDEG	OG0002198	K02672	pilW; type IV pilus assembly protein PilW
PSPTO_0814	4.60591915039998	5.44274257240809	-0.83682342200811	nonDEG	OG0003097	K02673	pilX; type IV pilus assembly protein PilX
PSPTO_0815	7.43213448766577	8.82846312046703	-1.39632863280126	down	OG0003575	K02674	pilY1; type IV pilus assembly protein PilY1
PSPTO_0816	4.72560546710433	4.54965009552175	0.17595537158258	nonDEG	OG0000298	K02655	pilE; type IV pilus assembly protein PilE
PSPTO_0817	5.90423617201272	5.74603309742765	0.15820307458507	nonDEG	OG0000136	K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
PSPTO_0818	4.25543626508965	3.53748129258921	0.71795497250044	nonDEG	OG0000011	K06075	slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin
PSPTO_0819	5.49515421669298	3.80689252778817	1.68826168890481	up	OG0000353	K06988	fno; 8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]
PSPTO_0820	2.70868828279127	6.1014149144458	-3.39272663165453	down	OG0000459	K18303	mexK; multidrug efflux pump
PSPTO_0821	1.95849156846943	4.28443410583158	-2.32594253736215	down	OG0000177	K18302	mexJ; membrane fusion protein, multidrug efflux system
PSPTO_0822	4.49420999916194	4.13354726116968	0.360662737992261	nonDEG	OG0001347		
PSPTO_0823	4.71486565741242	5.92646999146297	-1.21160433405055	down	OG0000007	K02667	pilR; two-component system, NtrC family, response regulator PilR
PSPTO_0824	4.7369954849533	7.36764314416885	-2.63064765921555	down	OG0002789	K02668	pilS; two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]
PSPTO_0825	2.85809013791639	4.75340744539038	-1.89531730747399	nonDEG	OG0003412	K06950	uncharacterized protein
PSPTO_0826	8.9100728277879	9.0899505719641	-0.179877744176199	nonDEG	OG0001427	K05807	bamD; outer membrane protein assembly factor BamD
PSPTO_0827	7.55769774508229	8.56865728087014	-1.01095953578785	down	OG0000600	K06180	rluD; 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]
PSPTO_0828	4.75348665343769	5.62969835958187	-0.87621170614418	nonDEG	OG0001189	K05810	yfiH; polyphenol oxidase [EC:1.10.3.-]
PSPTO_0829	5.95931202774217	8.24472216347499	-2.28541013573282	down	OG0000118	K03695	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
PSPTO_0831	5.54837435726095	6.03241269347627	-0.48403833621532	nonDEG	OG0004966		
PSPTO_0833	2.09054129727654	4.58757736025811	-2.49703606298157	nonDEG	OG0000402		
PSPTO_0834	4.26900762703478	2.96102210934907	1.30798551768571	nonDEG	OG0000147	K00060	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]
PSPTO_0835	3.50090265709625	0.338431455301039	3.16247120179521	nonDEG	OG0000617	K11752	ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]
PSPTO_0836	1.76340414057183	1.63350180800777	0.12990233256406	nonDEG	OG0000100	K19270	yfbT; sugar-phosphatase [EC:3.1.3.23]
PSPTO_0837	0.931383619784578	0.0295200256726556	0.901863594111922	nonDEG	OG0002307	K09702	uncharacterized protein
PSPTO_0838	5.45447292344776	4.79376672338134	0.66070620006642	nonDEG	OG0002099	K02429	fucP; MFS transporter, FHS family, L-fucose permease
PSPTO_0840	6.53836053913798	7.5530524925434	-1.01469195340542	down			
PSPTO_0842	2.17803510392891	3.78227268908902	-1.60423758516011	nonDEG	OG0000174		
PSPTO_0847	2.6052889499526	2.38906365882763	0.21622529112497	nonDEG	OG0007745		
PSPTO_0848	5.22209228211716	3.99940974842256	1.2226825336946	up	OG0004964		
PSPTO_0849	3.68604994218452	4.89646440556337	-1.21041446337885	nonDEG	OG0004963		
PSPTO_0850	2.09586590240559	2.36890147079705	-0.27303556839146	nonDEG	OG0007744		
PSPTO_0851	5.94097353501259	7.16127591045937	-1.22030237544678	down	OG0007690	K08996	yagU; putative membrane protein
PSPTO_0852	7.65454471359228	4.33251697629647	3.32202773729581	up	OG0001579		
PSPTO_0853	3.0196613006543	5.06470167468442	-2.04504037403012	down	OG0000341	K06204	dksA; DnaK suppressor protein
PSPTO_0854	2.83892427767149	3.70122485927258	-0.86230058160109	nonDEG			
PSPTO_0855	5.80273180943494	6.88656736061918	-1.08383555118424	down	OG0000101	K03496	parA; chromosome partitioning protein
PSPTO_0856	5.51940881540651	7.26739050500995	-1.74798168960344	down	OG0004003	K07816	E2.7.6.5X; putative GTP pyrophosphokinase [EC:2.7.6.5]
PSPTO_0857	2.78914629061286	3.19647652251933	-0.40733023190647	nonDEG	OG0001875		
PSPTO_0858	1.19747025002415	3.86086261345904	-2.66339236343489	down			
PSPTO_0859	3.70444883531995	4.70820919461534	-1.00376035929539	nonDEG	OG0004962		
PSPTO_0860	1.88052771856224	0.853476124156425	1.02705159440581	nonDEG	OG0007743		
PSPTO_0861	2.04194653868889	0.69821377093265	1.34373276775624	nonDEG	OG0004961		
PSPTO_0862	0.896782579777403	2.01037630722256	-1.11359372744516	nonDEG	OG0007742		
PSPTO_0863	0.572607756515597	0.455206382519905	0.117401373995692	nonDEG	OG0004960		
PSPTO_0867	2.32226447288854	2.02372138805537	0.29854308483317	nonDEG	OG0004958		
PSPTO_0869	1.04791544681305	2.66807256813719	-1.62015712132414	nonDEG	OG0004957		
PSPTO_0871	6.05187792692896	5.14577934123861	0.906098585690351	nonDEG	OG0000145	K08225	entS; MFS transporter, ENTS family, enterobactin (siderophore) exporter
PSPTO_0873	6.86028617477648	1.96088527904157	4.89940089573491	up			
PSPTO_0874	5.49432171904555	3.45372647192319	2.04059524712236	up	OG0001484		
PSPTO_0875	3.77619542166179	3.38834393823825	0.38785148342354	nonDEG	OG0001484		
PSPTO_0876	0.785935916942447	1.13262121220132	-0.346685295258873	nonDEG			
PSPTO_0877	0.510783834227747	-2.23329867942904	2.74408251365679	nonDEG			
PSPTO_0878	0.119235485096072	-2.22344546874131	2.34268095383738	nonDEG			
PSPTO_0879	0.38069750297382	-1.62394099684512	2.00463849981894	nonDEG	OG0006524		
PSPTO_0880	0.410792504921258	-2.16214717805842	2.57293968297968	nonDEG	OG0004956		
PSPTO_0881	-0.0592318419772766	-2.22920330897111	2.16997146699383	nonDEG	OG0004955		
PSPTO_0882	0.18357277479813	-2.24037481227332	2.42394758707145	nonDEG			
PSPTO_0883	0.796428279920263	-2.25028915742224	3.0467174373425	nonDEG			
PSPTO_0884	6.38398692596989	5.31456394524882	1.06942298072107	up	OG0007706		
PSPTO_0885	5.75513751771114	2.60053879745027	3.15459872026087	up	OG0001241	K01193	INV; beta-fructofuranosidase [EC:3.2.1.26]
PSPTO_0886	6.66722111252177	3.10407150664705	3.56314960587472	up	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
PSPTO_0887	5.93095274483702	1.74795634210671	4.18299640273031	up	OG0000041	K17317	gtsC; glucose/mannose transport system permease protein
PSPTO_0888	5.74399922783581	0.582692541656506	5.1613066861793	up	OG0000046	K02025	ABC.MS.P; multiple sugar transport system permease protein
PSPTO_0889	8.08204063824052	2.86583835614051	5.21620228210001	up	OG0000143	K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein
PSPTO_0890	7.22739905507973	5.41915306856418	1.80824598651555	up	OG0005788	K16077	scrY; sucrose porin
PSPTO_0891	7.68442892418813	7.26567120692832	0.41875771725981	nonDEG			
PSPTO_0892	7.75785481671954	8.57950688638275	-0.821652069663211	nonDEG	OG0000096	K14645	serine protease [EC:3.4.21.-]
PSPTO_0893	4.14383751452209	5.50805420841096	-1.36421669388887	nonDEG	OG0000626	K06076	fadL; long-chain fatty acid transport protein
PSPTO_0894	1.16586034700356	4.57070441006253	-3.40484406305897	down			
PSPTO_0895	0.873893664165298	2.13252091827153	-1.25862725410623	nonDEG			
PSPTO_0896	4.25551105352762	5.5098729030824	-1.25436184955478	nonDEG	OG0004041		
PSPTO_0897	3.14104769969791	2.82218750674146	0.31886019295645	nonDEG	OG0000009	K07687	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB
PSPTO_0898	3.20698162697213	3.59651542654678	-0.38953379957465	nonDEG	OG0004041		
PSPTO_0899	3.3828806627126	3.22883893368747	0.15404172902513	nonDEG			
PSPTO_0901	3.69374518187252	-2.13845176876283	5.83219695063535	up			
PSPTO_0902	1.8776410085669	1.30808017758843	0.56956083097847	nonDEG	OG0000179	K07481	transposase
PSPTO_0903	0.305700486450227	3.1610538558961	-2.85535336944587	down	OG0000179	K07481	transposase
PSPTO_0905	3.68693085025938	2.80249970534808	0.8844311449113	nonDEG			
PSPTO_0906	3.01849385781272	3.49052539667248	-0.47203153885976	nonDEG			
PSPTO_0907	5.37444149407404	6.18682799365448	-0.812386499580439	nonDEG			
PSPTO_0908	2.14086690936392	2.58575628042961	-0.44488937106569	nonDEG	OG0000358	K03412	cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]
PSPTO_0909	2.9932092822928	2.54606527533798	0.44714400695482	nonDEG	OG0002831	K03411	cheD; chemotaxis protein CheD [EC:3.5.1.44]
PSPTO_0910	1.92169804947031	2.79786800068084	-0.87616995121053	nonDEG	OG0000312	K00575	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
PSPTO_0912	5.11067656849951	4.91143305386332	0.199243514636191	nonDEG	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
PSPTO_0913	3.13790361366597	5.15692054536116	-2.01901693169519	down	OG0000357	K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]
PSPTO_0915	3.67737760385858	3.73094936644337	-0.0535717625847902	nonDEG	OG0000086	K03413	cheY; two-component system, chemotaxis family, chemotaxis protein CheY
PSPTO_0916	5.11125805025582	5.91982617536259	-0.80856812510677	nonDEG	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
PSPTO_0917	6.32911337256794	6.66205070537966	-0.332937332811721	nonDEG	OG0000401	K03885	ndh; NADH dehydrogenase [EC:1.6.99.3]
PSPTO_0918	2.60023038205974	2.31656823356202	0.28366214849772	nonDEG	OG0003826		
PSPTO_0919	4.35080243967788	5.69886536247513	-1.34806292279725	down	OG0003135		
PSPTO_0920	6.85583688443516	7.37198524276556	-0.5161483583304	nonDEG	OG0003413		
PSPTO_0922	5.03208917433413	7.04161333810439	-2.00952416377026	down	OG0002441	K09862	uncharacterized protein
PSPTO_0923	5.42358078159798	6.80589518610744	-1.38231440450946	down	OG0000896	K00859	coaE; dephospho-CoA kinase [EC:2.7.1.24]
PSPTO_0924	2.21447678108722	3.99706704269348	-1.78259026160626	nonDEG	OG0000897	K02654	pilD; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]
PSPTO_0925	4.68306082961012	5.49824977031011	-0.81518894069999	nonDEG	OG0000256	K02455	gspF; general secretion pathway protein F
PSPTO_0926	8.5345002142449	7.98609725418729	0.548402960057611	nonDEG	OG0000075	K02454	gspE; general secretion pathway protein E
PSPTO_0927	10.1511772733399	9.3085887479583	0.842588525381601	nonDEG	OG0000298	K02655	pilE; type IV pilus assembly protein PilE
PSPTO_0928	0.31670280529041	3.42462028798723	-3.10791748269682	down	OG0000035		
PSPTO_0929	7.55676185888212	8.17568409981422	-0.6189222409321	nonDEG	OG0001474	K00799	GST; glutathione S-transferase [EC:2.5.1.18]
PSPTO_0930	4.89258357404112	6.09522594141333	-1.20264236737221	down	OG0007146		
PSPTO_0931	5.968857282958	8.30740517968295	-2.33854789672495	down	OG0007147		
PSPTO_0932	5.45620330503499	7.03698996902779	-1.5807866639928	down	OG0006361		
PSPTO_0933	5.43636579976193	4.93951384638648	0.49685195337545	nonDEG	OG0002821	K01955	carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
PSPTO_0934	6.70346119684595	6.17137434524811	0.53208685159784	nonDEG	OG0006362		
PSPTO_0935	2.83457171496853	5.4991389130896	-2.66456719812107	down	OG0004492		
PSPTO_0936	1.69600350745214	2.11303453823473	-0.41703103078259	nonDEG	OG0003635		
PSPTO_0937	5.07457646318634	4.40153000864466	0.67304645454168	nonDEG	OG0004028		
PSPTO_0938	6.19236029471982	6.0116326476472	0.18072764707262	nonDEG	OG0003985		
PSPTO_0939	6.36254925421542	6.48374861692153	-0.12119936270611	nonDEG	OG0002746		
PSPTO_0940	7.23969194826205	6.22629547958764	1.01339646867441	up	OG0000440	K05791	terZ; tellurium resistance protein TerZ
PSPTO_0941	7.37298481291159	7.53091741341625	-0.15793260050466	nonDEG	OG0005175	K05792	terA; tellurite resistance protein TerA
PSPTO_0942	4.66303148966027	4.77013782995753	-0.107106340297261	nonDEG	OG0004493	K05793	terB; tellurite resistance protein TerB
PSPTO_0943	6.6301567866563	6.96945532213382	-0.33929853547752	nonDEG	OG0000991	K05794	terC; tellurite resistance protein TerC
PSPTO_0944	7.98243366245396	7.58197907478619	0.400454587667769	nonDEG	OG0000440	K05791	terZ; tellurium resistance protein TerZ
PSPTO_0945	8.73744976577484	9.70261356323082	-0.965163797455979	nonDEG	OG0000440	K05791	terZ; tellurium resistance protein TerZ
PSPTO_0946	5.56762548272153	6.33032353140994	-0.76269804868841	nonDEG	OG0004494		
PSPTO_0947	5.22532002335033	4.86220717838976	0.36311284496057	nonDEG	OG0004016		
PSPTO_0948	7.13501190723191	6.53520621137126	0.59980569586065	nonDEG	OG0000898	K00767	nadC; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
PSPTO_0949	7.96682893014031	8.29781573637882	-0.330986806238509	nonDEG	OG0003002		
PSPTO_0950	6.94840809567662	6.86181779274954	0.08659030292708	nonDEG	OG0000270	K03806	ampD; N-acetyl-anhydromuramoyl-L-alanine amidase [EC:3.5.1.28]
PSPTO_0951	5.55438734273344	5.94750494281032	-0.39311760007688	nonDEG	OG0002199	K03807	ampE; AmpE protein
PSPTO_0952	4.30616188047694	2.33706974107549	1.96909213940145	up	OG0000194	K03424	tatD; TatD DNase family protein [EC:3.1.21.-]
PSPTO_0953	6.07748653516108	4.52763570711721	1.54985082804387	up	OG0002442	K03435	fruR1; LacI family transcriptional regulator, fructose operon transcriptional repressor
PSPTO_0954	8.98879127009753	6.78760920604272	2.20118206405481	up	OG0000317	K08483	PTS-EI.PTSI; phosphotransferase system, enzyme I, PtsI [EC:2.7.3.9]
PSPTO_0955	5.56764012397775	4.1926602082321	1.37497991574565	up	OG0001305	K00882	fruK; 1-phosphofructokinase [EC:2.7.1.56]
PSPTO_0956	5.2540570234109	4.05745443570536	1.19660258770554	up	OG0001555	K02769	PTS-Fru-EIIB; PTS system, fructose-specific IIB component [EC:2.7.1.202]
PSPTO_0957	7.99814848948615	6.26512128844271	1.73302720104344	up	OG0000031	K00626	E2.3.1.9; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
PSPTO_0958	3.81511426816891	6.25449568317807	-2.43938141500916	down	OG0002247		
PSPTO_0959	9.00701402324047	9.62988272168461	-0.622868698444139	nonDEG	OG0000938	K01810	GPI; glucose-6-phosphate isomerase [EC:5.3.1.9]
PSPTO_0960	3.20919002526857	6.22906702656659	-3.01987700129802	down	OG0001078	K01918	panC; pantoate--beta-alanine ligase [EC:6.3.2.1]
PSPTO_0961	5.89583957827014	6.33263067096317	-0.436791092693031	nonDEG	OG0001211	K00606	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
PSPTO_0962	5.18053284005216	4.92339299568035	0.257139844371809	nonDEG	OG0000394	K00950	folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
PSPTO_0963	9.25667215047015	9.37346334683748	-0.11679119636733	nonDEG	OG0001702	K00970	pcnB; poly(A) polymerase [EC:2.7.7.19]
PSPTO_0964	6.77002698459749	7.02648566521679	-0.2564586806193	nonDEG	OG0000007	K02667	pilR; two-component system, NtrC family, response regulator PilR
PSPTO_0965	5.62317434499453	7.90470086745069	-2.28152652245616	down	OG0003492		
PSPTO_0966	2.63038267648162	4.46969160764591	-1.83930893116429	nonDEG	OG0004907		
PSPTO_0967	5.92422109057619	6.03945759899409	-0.1152365084179	nonDEG	OG0001701	K01894	gluQ; glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]
PSPTO_0969	5.53416105255156	8.1239136937785	-2.58975264122694	down	OG0000341	K06204	dksA; DnaK suppressor protein
PSPTO_0970	7.0962877221079	7.95483745009336	-0.85854972798546	nonDEG	OG0000116	K00812	aspB; aspartate aminotransferase [EC:2.6.1.1]
