	Pto_Col	Pto_Kb	Pto_FC	Pto_DEG	OG	KO.id	KO.description
PSPTO_1491	5.213045723	6.569603036	-1.356557313	down	OG0001776		
PSPTO_1492	5.393753409	6.985263484	-1.591510075	down	OG0000412		
PSPTO_1493	6.537381971	6.815685454	-0.278303483	nonDEG	OG0002972	K13487	wspA; methyl-accepting chemotaxis protein WspA
PSPTO_1494	3.772186264	5.590801228	-1.818614965	down	OG0002973	K13488	wspB; chemotaxis-related protein WspB
PSPTO_1495	5.298623407	6.070256778	-0.771633371	nonDEG	OG0002974	K13486	wspC; chemotaxis protein methyltransferase WspC
PSPTO_1496	3.279882337	4.103332312	-0.823449975	nonDEG	OG0002975	K13489	wspD; chemotaxis-related protein WspD
PSPTO_1497	5.083722523	6.018910482	-0.935187959	nonDEG	OG0002976	K13490	"wspE; two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE"
PSPTO_1498	5.865588879	6.168805396	-0.303216517	nonDEG	OG0002977	K13491	"wspF; two-component system, chemotaxis family, response regulator WspF [EC:3.1.1.61]"
PSPTO_1499	6.884940445	7.917246083	-1.032305639	down	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
PSPTO_1500	9.114315228	7.662339445	1.451975783	up	OG0001668	K02836	prfB; peptide chain release factor 2
PSPTO_1501	8.260989567	7.109773803	1.151215764	up	OG0000864	K04567	"KARS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]"
PSPTO_1502	4.905136943	3.713463188	1.191673755	up	OG0001979		
PSPTO_1503	7.639813827	7.403672875	0.236140953	nonDEG	OG0002181		
PSPTO_1504	6.51455787	7.147708317	-0.633150447	nonDEG	OG0000709	K06889	uncharacterized protein
PSPTO_1505	4.826713571	5.823289992	-0.996576421	nonDEG	OG0003349		
PSPTO_1506	9.893543105	7.088504388	2.805038716	up	OG0000072	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
PSPTO_1507	9.756330442	7.867668904	1.888661538	up	OG0003350		
PSPTO_1508	8.115246427	7.673998108	0.441248319	nonDEG	OG0001287	K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
PSPTO_1509	9.348365988	10.83333109	-1.4849651	down	OG0001032	K00939	adk; adenylate kinase [EC:2.7.4.3]
PSPTO_1510	6.633245714	5.882336783	0.750908932	nonDEG	OG0000865	K14742	tsaB; tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
PSPTO_1511	7.961039603	7.648581638	0.312457965	nonDEG	OG0003352		
PSPTO_1512	6.601841133	5.409268017	1.192573116	up	OG0000334		
PSPTO_1513	2.89816621	2.636787776	0.261378434	nonDEG	OG0002183		
PSPTO_1514	4.270147206	6.392466421	-2.122319215	down	OG0003353		
PSPTO_1515	5.014336656	5.522402981	-0.508066325	nonDEG	OG0001980	K15984	rsmJ; 16S rRNA (guanine1516-N2)-methyltransferase [EC:2.1.1.242]
PSPTO_1516	1.464177337	1.311668467	0.152508871	nonDEG	OG0000025	K19736	"aefR; TetR/AcrR family transcriptional regulator, regulator of autoinduction and epiphytic fitness"
PSPTO_1518	6.739656109	6.001267539	0.73838857	nonDEG	OG0002411		
PSPTO_1519	4.047638583	4.137007924	-0.089369341	nonDEG	OG0003354	K09914	putative lipoprotein
PSPTO_1520	8.072209025	8.016915364	0.055293661	nonDEG	OG0002184	K00631	plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
PSPTO_1521	5.61517419	5.928856153	-0.313681963	nonDEG	OG0003355		
PSPTO_1522	7.415097226	6.942626292	0.472470935	nonDEG	OG0002185	K00563	rlmA1; 23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]
PSPTO_1523	7.158675078	6.62481064	0.533864438	nonDEG	OG0000168	K01438	argE; acetylornithine deacetylase [EC:3.5.1.16]
PSPTO_1524	6.416563685	7.66446996	-1.247906275	down	OG0002668		
PSPTO_1525	8.713782891	8.226477889	0.487305002	nonDEG	OG0001288	K22132	tcdA; tRNA threonylcarbamoyladenosine dehydratase
PSPTO_1526	2.851100539	2.952058273	-0.100957734	nonDEG	OG0001417	K02426	sufE; cysteine desulfuration protein SufE
PSPTO_1527	7.391277674	5.713749314	1.67752836	up	OG0000866	K11717	sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
PSPTO_1528	7.938137158	5.93091314	2.007224018	up	OG0002669	K00674	"dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
PSPTO_1529	6.787026728	5.865015913	0.922010815	nonDEG	OG0000589	K16509	spxA; regulatory protein spx
PSPTO_1530	3.399572022	2.74215633	0.657415692	nonDEG	OG0005820		
PSPTO_1531	7.74459301	6.849094098	0.895498912	nonDEG	OG0002412	K14267	dapC; N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17]
PSPTO_1532	8.946065988	8.329040865	0.617025122	nonDEG	OG0001804	K00990	glnD; [protein-PII] uridylyltransferase [EC:2.7.7.59]
PSPTO_1533	7.776481283	6.398173109	1.378308174	up	OG0000294	K01265	map; methionyl aminopeptidase [EC:3.4.11.18]
PSPTO_1534	13.71981579	13.1600367	0.559779092	nonDEG	OG0000867	K02967	RP-S2; small subunit ribosomal protein S2
PSPTO_1535	8.997908693	8.622032253	0.37587644	nonDEG	OG0001033	K02357	tsf; elongation factor Ts
PSPTO_1536	7.113922535	5.60388133	1.510041204	up	OG0000868	K09903	pyrH; uridylate kinase [EC:2.7.4.22]
PSPTO_1537	7.044787261	4.892082867	2.152704393	up	OG0000869	K02838	frr; ribosome recycling factor
PSPTO_1538	5.73154032	4.935250563	0.796289757	nonDEG	OG0000651	K00806	uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]
PSPTO_1539	4.251250524	3.835031273	0.416219251	nonDEG	OG0000870	K00981	E2.7.7.41; phosphatidate cytidylyltransferase [EC:2.7.7.41]
PSPTO_1540	5.160912607	5.294175519	-0.133262912	nonDEG	OG0001173	K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
PSPTO_1541	6.825206168	6.750748994	0.074457174	nonDEG	OG0000871	K11749	rseP; regulator of sigma E protease [EC:3.4.24.-]
PSPTO_1542	11.33781188	10.88295019	0.45486169	nonDEG	OG0001143	K07277	SAM50; outer membrane protein insertion porin family
PSPTO_1543	6.138813457	6.295194449	-0.156380992	nonDEG	OG0002670	K06142	hlpA; outer membrane protein
PSPTO_1544	7.530604179	7.104915349	0.425688831	nonDEG	OG0000872	K02536	lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
PSPTO_1545	7.179125713	7.11278594	0.066339773	nonDEG	OG0000873	K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
PSPTO_1546	6.94824227	6.433299549	0.514942721	nonDEG	OG0001289	K00677	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
PSPTO_1547	6.627463103	7.161295767	-0.533832664	nonDEG	OG0001418	K00748	lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
PSPTO_1548	5.310239816	5.410324688	-0.100084872	nonDEG	OG0000874	K03470	rnhB; ribonuclease HII [EC:3.1.26.4]
PSPTO_1549	8.920871299	9.044020629	-0.123149331	nonDEG	OG0000225	K02337	dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]
PSPTO_1550	9.824619443	8.796797991	1.027821452	up	OG0001174	K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
PSPTO_1551	8.46742385	7.392705593	1.074718257	up	OG0001175	K04075	tilS; tRNA(Ile)-lysidine synthase [EC:6.3.4.19]
PSPTO_1552	9.255003962	7.860091271	1.39491269	up	OG0000728	K01937	pyrG; CTP synthase [EC:6.3.4.2]
PSPTO_1553	9.20050477	7.696636015	1.503868756	up	OG0000875	K01627	kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
PSPTO_1554	11.38434147	9.959087727	1.425253747	up	OG0000591	K01689	ENO; enolase [EC:4.2.1.11]
PSPTO_1555	3.642482496	2.433237415	1.209245081	nonDEG	OG0001981	K05589	ftsB; cell division protein FtsB
PSPTO_1556	4.832080444	4.006754329	0.825326115	nonDEG	OG0001419	K00991	ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
PSPTO_1557	4.699878604	4.60899292	0.090885684	nonDEG	OG0000006		
PSPTO_1558	8.646563886	6.706687394	1.939876492	up	OG0001034	K00121	frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
PSPTO_1559	7.619870293	7.970642944	-0.350772651	nonDEG	OG0001420	K01070	frmB; S-formylglutathione hydrolase [EC:3.1.2.12]
PSPTO_1560	6.509424693	6.029194233	0.48023046	nonDEG	OG0001176	K01770	"ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]"
PSPTO_1561	5.964063245	4.756818775	1.207244471	up	OG0002413	K06176	truD; tRNA pseudouridine13 synthase [EC:5.4.99.27]
PSPTO_1562	4.860467468	5.645369436	-0.784901968	nonDEG	OG0001290	K03787	surE; 5'-nucleotidase [EC:3.1.3.5]
PSPTO_1563	5.823958518	6.181688522	-0.357730005	nonDEG	OG0001035	K00573	E2.1.1.77; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]
PSPTO_1564	5.59578723	7.170717484	-1.574930255	down	OG0000130	K06194	nlpD; lipoprotein NlpD
PSPTO_1565	5.633152137	6.175021038	-0.541868901	nonDEG	OG0000368	K03086	rpoD; RNA polymerase primary sigma factor
PSPTO_1568	4.374814162	1.373884138	3.000930024	up			
PSPTO_1570	2.764352119	3.091393809	-0.32704169	nonDEG			
PSPTO_1571	5.445168616	6.526101974	-1.080933358	down			
PSPTO_1572	1.410298984	2.302600045	-0.892301061	nonDEG			
PSPTO_1573	2.641041974	2.787195871	-0.146153897	nonDEG			
PSPTO_1574	6.537080027	5.484278296	1.052801732	up	OG0001485	K16053	ybdG; miniconductance mechanosensitive channel
PSPTO_1575	3.055746264	4.775409253	-1.719662989	down	OG0000216		
PSPTO_1577	5.981757016	6.889630228	-0.907873212	nonDEG	OG0002925		
PSPTO_1578	5.267205776	5.031190016	0.23601576	nonDEG	OG0000006		
PSPTO_1580	3.983601744	4.392439776	-0.408838032	nonDEG	OG0001509	K06889	uncharacterized protein
PSPTO_1581	4.945847247	5.874235568	-0.928388321	nonDEG	OG0003173		
PSPTO_1582	2.513827857	2.967694231	-0.453866374	nonDEG	OG0001461	K14189	dltE; uncharacterized oxidoreductase [EC:1.-.-.-]
PSPTO_1583	6.313093052	6.011674666	0.301418386	nonDEG	OG0000267	K13573	pafC; proteasome accessory factor C
PSPTO_1584	1.892564581	2.295632991	-0.40306841	nonDEG	OG0006802		
PSPTO_1585	2.996629922	4.191907021	-1.195277099	down	OG0006429	K02030	ABC.PA.S; polar amino acid transport system substrate-binding protein
PSPTO_1587	8.002347194	8.183119699	-0.180772506	nonDEG	OG0000051	K05592	deaD; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]
PSPTO_1588	3.724962228	4.07366765	-0.348705422	nonDEG	OG0003232		
PSPTO_1589	4.22422851	4.546027091	-0.321798581	nonDEG	OG0003233		
PSPTO_1590	9.018950311	7.963952563	1.054997747	up	OG0001742		
PSPTO_1592	6.621463149	7.946018476	-1.324555328	down	OG0006387		
PSPTO_1593	7.004160444	5.930304294	1.07385615	up	OG0001927	K00243	uncharacterized protein
PSPTO_1594	3.624485198	2.922907318	0.70157788	nonDEG	OG0002588		
PSPTO_1595	1.412703422	1.424716241	-0.012012818	nonDEG			
PSPTO_1596	0.81373606	1.598033021	-0.784296961	nonDEG	OG0000476		
PSPTO_1597	5.784543943	7.47138162	-1.686837677	down	OG0000265	K07058	membrane protein
PSPTO_1598	6.101730695	5.981431236	0.120299459	nonDEG	OG0000243	K01462	PDF; peptide deformylase [EC:3.5.1.88]
PSPTO_1599	3.187176511	3.592013533	-0.404837022	nonDEG	OG0002253		
PSPTO_1600	5.460225157	5.744108961	-0.283883804	nonDEG	OG0002218	K02002	proX; glycine betaine/proline transport system substrate-binding protein
PSPTO_1601	4.18501073	3.653952661	0.531058069	nonDEG	OG0006385		
PSPTO_1602	4.735815347	5.000159335	-0.264343988	nonDEG	OG0004505	K03365	FCY1; cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]
PSPTO_1603	3.837102221	1.52070543	2.316396792	nonDEG			
PSPTO_1604	6.580901229	6.988844731	-0.407943502	nonDEG	OG0002144	K19707	rsbQ; sigma-B regulation protein RsbQ
PSPTO_1605	5.561862052	7.141454559	-1.579592507	down	OG0000159	K07636	"phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]"
PSPTO_1606	5.880772709	6.358849284	-0.478076575	nonDEG	OG0000159	K07636	"phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]"
PSPTO_1607	6.300804407	7.615662601	-1.314858193	down	OG0003781		
PSPTO_1608	6.515490013	6.281200104	0.234289909	nonDEG	OG0000710	K21430	yliI; aldose sugar dehydrogenase [EC:1.1.5.-]
PSPTO_1609	8.439885082	6.559889718	1.879995364	up	OG0001109		
PSPTO_1610	6.477103864	4.194428578	2.282675286	up	OG0002217	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
PSPTO_1612	4.965562584	3.797741875	1.167820709	nonDEG	OG0001166		
PSPTO_1613	1.031380036	2.018042334	-0.986662298	nonDEG	OG0000009	K07687	"rcsB; two-component system, NarL family, captular synthesis response regulator RcsB"
PSPTO_1614	1.447145843	3.850032059	-2.402886216	down	OG0004842		
PSPTO_1615	3.340176947	4.611643434	-1.271466487	down	OG0002352		
PSPTO_1616	5.031029589	5.691419238	-0.660389649	nonDEG	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
PSPTO_1617	4.756145086	4.595914175	0.160230912	nonDEG	OG0000158	K19577	"ydhP; MFS transporter, DHA1 family, inner membrane transport protein"
PSPTO_1618	4.998904748	6.003381652	-1.004476904	down	OG0000006		
PSPTO_1619	7.461099776	8.774864155	-1.313764379	down	OG0003438		
PSPTO_1620	6.505507147	6.88989167	-0.384384523	nonDEG	OG0000732	K04754	mlaA; phospholipid-binding lipoprotein MlaA
PSPTO_1621	6.923872035	7.91510443	-0.991232395	nonDEG	OG0003389		
PSPTO_1622	1.753259802	2.866859246	-1.113599444	nonDEG	OG0001814	K02002	proX; glycine betaine/proline transport system substrate-binding protein
PSPTO_1623	3.013050503	3.580145661	-0.567095158	nonDEG	OG0001186		
PSPTO_1624	6.004845324	7.426298204	-1.42145288	down	OG0000122	K14393	actP; cation/acetate symporter
PSPTO_1625	3.161441073	4.080600176	-0.919159104	nonDEG	OG0002891		
PSPTO_1627	3.807690642	5.247310524	-1.439619881	down	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
PSPTO_1630	5.237749546	7.19224244	-1.954492893	down	OG0002892	K09898	uncharacterized protein
PSPTO_1631	6.450679859	3.799534771	2.651145088	up	OG0002595		
PSPTO_1632	7.936905361	5.710385238	2.226520123	up	OG0002126	K03802	cphA; cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
PSPTO_1633	7.78332711	6.141181154	1.642145956	up	OG0000629	K01953	asnB; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
PSPTO_1634	0.703182713	4.154766051	-3.451583338	down	OG0003818		
PSPTO_1635	4.573184339	4.973951593	-0.400767253	nonDEG	OG0002996		
PSPTO_1636	4.304979496	4.944406571	-0.639427075	nonDEG	OG0002355		
PSPTO_1637	5.208259653	5.524951698	-0.316692045	nonDEG	OG0002354	K02004	ABC.CD.P; putative ABC transport system permease protein
PSPTO_1638	5.230111674	6.376897459	-1.146785785	down	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
PSPTO_1639	6.197599589	5.931329073	0.266270515	nonDEG	OG0001496	K15461	mnmC; tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein [EC:2.1.1.61 1.5.-.-]
PSPTO_1640	4.985099167	5.29935915	-0.314259984	nonDEG	OG0000483	K22468	ppk2; polyphosphate kinase [EC:2.7.4.1]
PSPTO_1641	1.802562267	2.330137752	-0.527575486	nonDEG			
PSPTO_1642	3.323702018	2.382058718	0.9416433	nonDEG	OG0002590	K09790	uncharacterized protein
PSPTO_1643	7.754640955	8.361123507	-0.606482551	nonDEG	OG0002886	K07039	uncharacterized protein
PSPTO_1644	9.290205481	8.962818382	0.327387099	nonDEG	OG0000285	K03654	recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
PSPTO_1645	7.659542849	7.714154672	-0.054611824	nonDEG	OG0000011	K06075	"slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin"
PSPTO_1646	7.156674356	7.953020047	-0.796345691	nonDEG	OG0001497	K08086	fimV; pilus assembly protein FimV
PSPTO_1647	3.175082183	3.50926065	-0.334178467	nonDEG			
PSPTO_1648	6.146412254	7.223607406	-1.077195152	down	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
PSPTO_1649	2.726407262	4.098136824	-1.371729562	down	OG0000096	K14645	serine protease [EC:3.4.21.-]
PSPTO_1650	1.980377739	2.545141362	-0.564763623	nonDEG	OG0000096	K14645	serine protease [EC:3.4.21.-]
PSPTO_1651	2.91973324	4.888575824	-1.968842584	down	OG0006879		
PSPTO_1653	5.966361796	7.05326619	-1.086904394	down	OG0003736	K07452	mcrB; 5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]
PSPTO_1654	5.274889518	6.291566397	-1.016676879	down	OG0004203	K19147	mcrC; 5-methylcytosine-specific restriction enzyme subunit McrC
PSPTO_1655	3.808297705	4.956637735	-1.14834003	down			
PSPTO_1656	7.347490087	7.455857453	-0.108367366	nonDEG	OG0004714		
PSPTO_1657	6.115535149	7.336408321	-1.220873172	down	OG0007752		
PSPTO_1660	7.616158047	8.661645862	-1.045487815	down	OG0004146		
PSPTO_1661	8.858298536	8.035505347	0.822793189	nonDEG	OG0000422	K00526	E1.17.4.1B; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
PSPTO_1663	2.408626516	3.719332121	-1.310705605	nonDEG	OG0004104		
PSPTO_1666	2.211713396	0.940247275	1.271466121	nonDEG	OG0000077	K01420	"fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein"
PSPTO_1667	2.247884346	5.772769079	-3.524884733	down	OG0001770	K14055	uspE; universal stress protein E
PSPTO_1669	1.905147257	5.27730274	-3.372155483	down	OG0002090	K00925	ackA; acetate kinase [EC:2.7.2.1]
PSPTO_1670	3.446118982	3.819665662	-0.37354668	nonDEG	OG0004005	K01621	xfp; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]
PSPTO_1671	11.04038333	9.619855003	1.420528328	up	OG0000437	K00525	E1.17.4.1A; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
PSPTO_1672	3.372387194	4.868036313	-1.49564912	down	OG0000003	K07657	"phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB"
PSPTO_1673	1.364296174	2.909236414	-1.544940241	nonDEG	OG0002271	K07639	"rstB; two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]"
PSPTO_1674	1.466548304	2.909815209	-1.443266906	nonDEG	OG0005206	K13255	fhuF; ferric iron reductase protein FhuF
PSPTO_1675	6.301420859	7.373692143	-1.072271283	down	OG0002514	K02362	entD; enterobactin synthetase component D [EC:6.3.2.14 2.7.8.-]
PSPTO_1676	3.032294413	4.843608631	-1.811314218	down	OG0004161		
PSPTO_1677	6.548144245	6.184771348	0.363372898	nonDEG	OG0000210	K01061	E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]
PSPTO_1678	3.926789284	3.322058865	0.604730418	nonDEG	OG0003902		
PSPTO_1679	5.460590778	4.109038819	1.351551959	up	OG0000003	K07657	"phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB"
PSPTO_1680	5.692903771	6.192226231	-0.499322459	nonDEG	OG0002069	K07637	"phoQ; two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]"
PSPTO_1681	2.405829563	2.7599302	-0.354100637	nonDEG			
PSPTO_1682	9.041301166	8.4180759	0.623225266	nonDEG	OG0000082	K11103	dctA; aerobic C4-dicarboxylate transport protein
PSPTO_1683	7.087089858	8.477988314	-1.390898456	down	OG0002363	K02742	sprT; SprT protein
PSPTO_1684	7.705753839	7.278462265	0.427291573	nonDEG	OG0001765	K14058	ttcA; tRNA 2-thiocytidine biosynthesis protein TtcA
PSPTO_1685	5.727824348	4.94380143	0.784022919	nonDEG	OG0003268		
PSPTO_1686	6.869575758	4.381604335	2.487971424	up	OG0001387	K03809	wrbA; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
PSPTO_1687	7.256836309	6.159790803	1.097045507	up	OG0001150	K00537	arsC1; arsenate reductase (glutaredoxin) [EC:1.20.4.1]
PSPTO_1688	3.701596156	4.309770006	-0.60817385	nonDEG	OG0000110	K02199	"ccmG; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"
PSPTO_1689	6.690035869	4.619895431	2.070140438	up	OG0001264		
PSPTO_1690	6.624031024	5.014275136	1.609755888	up	OG0003269		
PSPTO_1691	6.623207652	6.432598691	0.19060896	nonDEG	OG0000076	K07678	"barA; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]"
PSPTO_1692	6.419037346	5.110111414	1.308925932	up	OG0000134	K01697	CBS; cystathionine beta-synthase [EC:4.2.1.22]
PSPTO_1693	5.827908072	4.367416975	1.460491096	up	OG0000625	K03215	rumA; 23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]
PSPTO_1694	9.198152154	8.475540701	0.722611453	nonDEG	OG0000306	K00951	relA; GTP pyrophosphokinase [EC:2.7.6.5]
PSPTO_1695	6.081513417	6.061848941	0.019664476	nonDEG	OG0000998	K04765	mazG; nucleoside triphosphate diphosphatase [EC:3.6.1.9]
PSPTO_1696	5.710394747	5.712477176	-0.002082429	nonDEG	OG0002343	K09912	uncharacterized protein
PSPTO_1697	9.072454579	9.222121148	-0.149666569	nonDEG	OG0003236		
PSPTO_1698	11.16754006	11.25143105	-0.083890983	nonDEG	OG0001928		
PSPTO_1699	8.843169935	7.547438175	1.29573176	up	OG0000785	K11175	purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]
PSPTO_1700	10.22955714	8.666259174	1.56329797	up	OG0000786	K01933	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
PSPTO_1701	5.827813772	5.787425844	0.040387928	nonDEG	OG0002589	K09938	uncharacterized protein
PSPTO_1702	4.925613446	4.179758692	0.745854754	nonDEG	OG0000167	K03548	perM; putative permease
PSPTO_1703	7.52192173	7.261936164	0.259985566	nonDEG	OG0001743	K10763	hda; DnaA-homolog protein
PSPTO_1704	6.358900195	6.463518298	-0.104618104	nonDEG	OG0000766	K12410	npdA; NAD-dependent deacetylase [EC:3.5.1.-]
PSPTO_1705	10.55745648	9.596132407	0.961324074	nonDEG	OG0000078	K13694	mepS; murein DD-endopeptidase / murein LD-carboxypeptidase [EC:3.4.-.- 3.4.17.13]
PSPTO_1706	6.323335367	5.038419933	1.284915434	up	OG0000078	K13694	mepS; murein DD-endopeptidase / murein LD-carboxypeptidase [EC:3.4.-.- 3.4.17.13]
PSPTO_1707	6.248561599	6.051377908	0.197183691	nonDEG	OG0000697		
PSPTO_1708	5.42517403	5.238802179	0.186371851	nonDEG	OG0001929	K19221	cobA; cob(I)alamin adenosyltransferase [EC:2.5.1.17]
PSPTO_1709	5.766754119	5.809293811	-0.042539693	nonDEG	OG0002344	K02224	"cobB-cbiA; cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]"
PSPTO_1710	3.665826132	5.040882753	-1.37505662	down	OG0002345	K04719	"bluB; 5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]"
PSPTO_1711	4.156934269	6.096222802	-1.939288532	down	OG0002115	K02227	cbiB; adenosylcobinamide-phosphate synthase [EC:6.3.1.10]
PSPTO_1712	5.412665309	6.321472351	-0.908807042	nonDEG	OG0002346	K02225	cobC1; cobalamin biosynthetic protein CobC
PSPTO_1713	5.565600876	6.203249092	-0.637648215	nonDEG	OG0001744	K02232	cobQ; adenosylcobyric acid synthase [EC:6.3.5.10]
PSPTO_1714	4.088467788	5.727830659	-1.639362871	down	OG0001745	K02231	cobP; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]
PSPTO_1715	5.033212433	5.691982841	-0.658770409	nonDEG	OG0001621	K00768	E2.4.2.21; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]
PSPTO_1716	3.559059536	4.927262671	-1.368203136	down	OG0000123	K02226	cobC; alpha-ribazole phosphatase [EC:3.1.3.73]
PSPTO_1717	3.409775618	4.815124047	-1.405348429	down	OG0001622	K02233	E2.7.8.26; adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]
PSPTO_1718	2.916147967	4.067215188	-1.151067221	down	OG0001623		
PSPTO_1719	5.360354493	5.597224251	-0.236869759	nonDEG	OG0000181	K00432	gpx; glutathione peroxidase [EC:1.11.1.9]
PSPTO_1720	8.517126266	10.19459208	-1.67746581	down	OG0000626	K06076	fadL; long-chain fatty acid transport protein
PSPTO_1721	9.732817267	9.344873692	0.387943574	nonDEG	OG0003237		
PSPTO_1722	5.283918117	6.820611727	-1.53669361	down	OG0005809		
PSPTO_1724	5.399560983	5.216372749	0.183188234	nonDEG	OG0001137	K09760	rmuC; DNA recombination protein RmuC
PSPTO_1725	7.031935112	8.003971293	-0.97203618	nonDEG	OG0005808		
PSPTO_1726	2.919059963	3.763519101	-0.844459138	nonDEG	OG0006426		
PSPTO_1727	3.141196008	3.125653209	0.015542799	nonDEG			
PSPTO_1728	3.760540528	4.5504516	-0.789911072	nonDEG	OG0003235		
PSPTO_1729	5.096144764	6.867020378	-1.770875614	down	OG0002893		
PSPTO_1730	7.177392085	7.038968779	0.138423306	nonDEG	OG0000263	K00355	NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
PSPTO_1731	6.458241078	6.772188995	-0.313947917	nonDEG	OG0000205	K01679	"E4.2.1.2B; fumarate hydratase, class II [EC:4.2.1.2]"
PSPTO_1732	11.15499383	9.414860594	1.74013324	up	OG0002596	K09924	uncharacterized protein
PSPTO_1733	7.012351757	5.545253265	1.467098492	up	OG0000484	K05527	"bolA; BolA family transcriptional regulator, general stress-responsive regulator"
PSPTO_1734	7.444217661	6.72587914	0.718338522	nonDEG	OG0000789	K07146	UPF0176 protein
PSPTO_1735	5.669199601	6.335741794	-0.666542193	nonDEG	OG0001753	K07396	putative protein-disulfide isomerase
PSPTO_1736	6.599116583	6.695964524	-0.096847941	nonDEG	OG0003251		
PSPTO_1737	6.377740357	6.919625278	-0.541884921	nonDEG	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
PSPTO_1738	4.363226387	5.764691957	-1.40146557	down	OG0002894		
PSPTO_1739	7.285448325	7.464026993	-0.178578667	nonDEG	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
PSPTO_1740	6.367510926	5.865032322	0.502478604	nonDEG	OG0001989		
