	Actinobacteria1	Actinobacteria2	Alphaproteobacteria	Bacillales	Bacteroidetes	Burkholderiales	Pseudomonas	Xanthomonadaceae
OG0006317||								
OG0002624|K03534|rhaM; L-rhamnose mutarotase [EC:5.1.3.32]	PA	PA	PA		PA	PA	PA	PA
OG0000360|K07304|msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]			PA					
OG0004001||								
OG0001179|K07118|uncharacterized protein		PA	PA		PA	PA		
OG0003620||								
OG0006183||								
OG0001134|K01659|prpC; 2-methylcitrate synthase [EC:2.3.3.5]	PA		PA			PA		
OG0001246|K03417|prpB; methylisocitrate lyase [EC:4.1.3.30]		PA						
OG0002879|K01720|prpD; 2-methylcitrate dehydratase [EC:4.2.1.79]			PA				PA	PA
OG0003566|K13775|atuG; citronellol/citronellal dehydrogenase	PA	PA				PA	PA	
OG0001779||								
OG0003123||								
OG0001610|K00024|mdh; malate dehydrogenase [EC:1.1.1.37]		PA						
OG0002553|K19745|acuI; acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]	PA		PA				PA	PA
OG0000677|K01845|hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]			PA					
OG0001661|K01719|hemD; uroporphyrinogen-III synthase [EC:4.2.1.75]			PA					
OG0000734|K01772|hemH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]								
OG0004442|K00435|hemQ; Fe-coproporphyrin III decarboxylase [EC:1.11.1.-]					PA	PA		
OG0000892|K02492|hemA; glutamyl-tRNA reductase [EC:1.2.1.70]			PA					
OG0003931||								
OG0001888|K17836|penP; beta-lactamase class A [EC:3.5.2.6]			PA				PA	
OG0001897|K07106|murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]		PA	PA					
OG0000322|K03688|ubiB; ubiquinone biosynthesis protein		PA						
OG0002473|K10439|rbsB; ribose transport system substrate-binding protein		PA	PA			PA	PA	
OG0000161|K02234|cobW; cobalamin biosynthesis protein CobW		PA	PA			PA		
OG0001954||								
OG0001677|K11939|rhtA; inner membrane transporter RhtA		PA	PA		PA	PA		PA
OG0005160||								
OG0002776||								
OG0000613|K05365|mrcB; penicillin-binding protein 1B [EC:2.4.1.129 3.4.16.4]								
OG0004453||								
OG0000057|K03710|GntR family transcriptional regulator			PA			PA		PA
OG0002529|K07448|mrr; restriction system protein	PA	PA	PA					
OG0003963||								
OG0000210|K01061|E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]	PA		PA			PA		
OG0003621||								
OG0000261|K00652|bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]	PA					PA		
OG0004455||								
OG0001988||								
OG0006213||								
OG0002500||								
OG0001979||								
OG0006214||								
OG0006199|K01265|map; methionyl aminopeptidase [EC:3.4.11.18]								
OG0006215||								
OG0005115||								
OG0004378||								
OG0002798|K02566|nagD; NagD protein		PA			PA			
OG0003964|K06442|tlyA; 23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]			PA					
OG0000611|K00858|ppnK; NAD+ kinase [EC:2.7.1.23]								
OG0000945|K03631|recN; DNA repair protein RecN (Recombination protein N)			PA					
OG0000728|K01937|pyrG; CTP synthase [EC:6.3.4.2]								
OG0000364|K00012|UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22]			PA					
OG0001326|K05896|scpA; segregation and condensation protein A			PA					
OG0001325|K06024|scpB; segregation and condensation protein B			PA		PA			
OG0000112|K06178|rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]								
OG0000881|K00945|cmk; CMP/dCMP kinase [EC:2.7.4.25]						PA		
OG0000977|K03977|engA; GTPase								
OG0006217||								
OG0002089|K00857|tdk; thymidine kinase [EC:2.7.1.21]			PA					
OG0000499|K00116|mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]			PA		PA			
OG0000181|K00432|gpx; glutathione peroxidase [EC:1.11.1.9]		PA	PA			PA		
OG0005117||								
OG0001185|K10804|tesA; acyl-CoA thioesterase I [EC:3.1.2.- 3.1.1.5]	PA	PA	PA			PA		
OG0005118|K00054|mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]		PA						PA
OG0000413|K00133|asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]			PA					
OG0000159|K07636|phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]			PA					
OG0001310||								
OG0000407|K00928|lysC; aspartate kinase [EC:2.7.2.4]								
OG0000189||								
OG0005113||								
OG0000269|K13979|yahK; uncharacterized zinc-type alcohol dehydrogenase-like protein [EC:1.-.-.-]			PA	PA	PA			
OG0000784|K06187|recR; recombination protein RecR								
OG0005171||								
OG0002311||								
OG0001607||								
OG0001014|K10979|ku; DNA end-binding protein Ku			PA		PA	PA		
OG0005088|K03654|recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]		PA	PA					
OG0000783|K02343|dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]								
OG0004003|K07816|E2.7.6.5X; putative GTP pyrophosphokinase [EC:2.7.6.5]	PA	PA						
OG0002804|K12308|bgaB; beta-galactosidase [EC:3.2.1.23]	PA		PA	PA	PA	PA		PA
OG0001119|K04762|hslR; ribosome-associated heat shock protein Hsp15		PA	PA			PA		
OG0006127||								
OG0006128||								
OG0003965|K01958|PC; pyruvate carboxylase [EC:6.4.1.1]	PA		PA		PA			
OG0000243|K01462|PDF; peptide deformylase [EC:3.5.1.88]								
OG0002191|K01626|E2.5.1.54; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]			PA					
OG0006129||								
OG0006130|K13787|idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]								
OG0006218||								
OG0001429|K03925|mraZ; MraZ protein			PA					
OG0001056|K03438|mraW; 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]								
OG0006219||								
OG0000604|K03587|ftsI; cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]								
OG0000662|K01928|murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]			PA			PA		
OG0000739|K01929|murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]						PA		
OG0000740|K01000|mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]								
OG0000906|K01925|murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]								
OG0000907|K02563|murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]								
OG0000908|K01924|murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]								
OG0006220|K03589|ftsQ; cell division protein FtsQ								
OG0000741|K03531|ftsZ; cell division protein FtsZ								
OG0000831|K06997|yggS; PLP dependent protein								
OG0004457|K09772|sepF; cell division inhibitor SepF								
OG0006341|K02221|yggT; YggT family protein								PA
OG0003600||								
OG0000534|K03101|lspA; signal peptidase II [EC:3.4.23.36]			PA					
OG0000600|K06180|rluD; 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]								
OG0001445|K07738|nrdR; transcriptional repressor NrdR								
OG0001135|K00254|DHODH; dihydroorotate dehydrogenase [EC:1.3.5.2]								
OG0006131||								
OG0001732||								
OG0000276|K13628|iscA; iron-sulfur cluster assembly protein			PA					
OG0001171|K02275|coxB; cytochrome c oxidase subunit II [EC:1.9.3.1]			PA		PA	PA	PA	
OG0000262|K02274|coxA; cytochrome c oxidase subunit I [EC:1.9.3.1]			PA		PA	PA	PA	
OG0006132||								
OG0002145||								
OG0001557|K00412|CYTB; ubiquinol-cytochrome c reductase cytochrome b subunit			PA				PA	
OG0005089|K03890|qcrA; ubiquinol-cytochrome c reductase iron-sulfur subunit								
OG0000694|K00406|ccoP; cytochrome c oxidase cbb3-type subunit III								PA
OG0000280|K02299|cyoC; cytochrome o ubiquinol oxidase subunit III			PA	PA		PA	PA	
OG0006322||								
OG0001017|K00766|trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]			PA					
OG0000226|K03701|uvrA; excinuclease ABC subunit A								
OG0004458||								
OG0006133||								
OG0006221||								
OG0000506|K11189|PTS-HPR; phosphocarrier protein		PA	PA					
OG0000548|K07192|FLOT; flotillin		PA	PA					
OG0006134||								
OG0001705|K03820|lnt; apolipoprotein N-acyltransferase [EC:2.3.1.269]								
OG0002216|K17675|SUPV3L1; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]			PA				PA	
OG0000612|K03118|tatC; sec-independent protein translocase protein TatC								
OG0001555|K02769|PTS-Fru-EIIB; PTS system, fructose-specific IIB component [EC:2.7.1.202]								
OG0006222|K07442|TRM61; tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]								
OG0006223||								
OG0006135|K15526|mshC; L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase [EC:6.3.1.13]	PA							
OG0000578|K06153|bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]			PA					
OG0005164||								
OG0002533||								
OG0002134|K07262|pbpG; serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7) [EC:3.4.21.-]								
OG0000766|K12410|npdA; NAD-dependent deacetylase [EC:3.5.1.-]			PA			PA	PA	
OG0000559|K02909|RP-L31; large subunit ribosomal protein L31								
OG0002807|K02013|ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]	PA	PA				PA		
OG0002080|K00975|glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]			PA			PA		
OG0001576|K01079|serB; phosphoserine phosphatase [EC:3.1.3.3]			PA					
OG0006136||								
OG0001799|K14998|SURF1; surfeit locus 1 family protein			PA			PA		
OG0000191|K06158|ABCF3; ATP-binding cassette, subfamily F, member 3	PA	PA	PA					
OG0002386|K14155|patB; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]		PA	PA		PA	PA	PA	PA
OG0001125|K02612|paaD; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD		PA	PA					
OG0002289|K09013|sufC; Fe-S cluster assembly ATP-binding protein					PA	PA		
OG0000443|K05710|hcaC; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component		PA	PA		PA	PA	PA	
OG0002808|K09015|sufD; Fe-S cluster assembly protein SufD					PA	PA		
OG0002290|K09014|sufB; Fe-S cluster assembly protein SufB					PA	PA		
OG0001538|K02259|COX15; cytochrome c oxidase assembly protein subunit 15					PA	PA	PA	
OG0000550|K02257|COX10; heme o synthase [EC:2.5.1.141]								
OG0000634|K00615|E2.2.1.1; transketolase [EC:2.2.1.1]			PA				PA	
OG0000309|K00616|E2.2.1.2; transaldolase [EC:2.2.1.2]						PA		
OG0000938|K01810|GPI; glucose-6-phosphate isomerase [EC:5.3.1.9]			PA					
OG0006225||								
OG0001447|K01057|PGLS; 6-phosphogluconolactonase [EC:3.1.1.31]			PA		PA			
OG0006137||								
OG0006138|K03075|secG; preprotein translocase subunit SecG			PA					
OG0000943|K01803|TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1]								
OG0000826|K00927|PGK; phosphoglycerate kinase [EC:2.7.2.3]								
OG0000292|K00134|GAPDH; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]								
OG0000345|K04564|SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]								
OG0004427|K09762|uncharacterized protein								
OG0001306|K06958|rapZ; RNase adapter protein RapZ			PA		PA			
OG0000981|K03703|uvrC; excinuclease ABC subunit C								
OG0000791|K03702|uvrB; excinuclease ABC subunit B			PA					
OG0000896|K00859|coaE; dephospho-CoA kinase [EC:2.7.1.24]								
OG0001042|K02945|RP-S1; small subunit ribosomal protein S1								
OG0002091||								
OG0000863|K02335|polA; DNA polymerase I [EC:2.7.7.7]								
OG0001188|K19222|menI; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]					PA		PA	
OG0001481|K07183|nasT; two-component system, response regulator / RNA-binding antiterminator			PA	PA		PA		PA
OG0000471|K00873|PK; pyruvate kinase [EC:2.7.1.40]			PA					
OG0001074|K00266|gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]			PA					
OG0000583|K13292|lgt; phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]								
OG0000861|K01695|trpA; tryptophan synthase alpha chain [EC:4.2.1.20]			PA					
OG0000727|K01696|trpB; tryptophan synthase beta chain [EC:4.2.1.20]			PA					
OG0000819|K01609|trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]			PA					
OG0006226||								
OG0006227||								
OG0000342|K11755|hisIE; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]			PA					
OG0000744|K02500|hisF; imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]			PA					
OG0000902|K00765|hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]			PA					
OG0006139|K01523|hisE; phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]			PA					
OG0000820|K01783|rpe; ribulose-phosphate 3-epimerase [EC:5.1.3.1]								
OG0000587|K03500|rsmB; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]								
OG0000859|K00604|MTFMT; methionyl-tRNA formyltransferase [EC:2.1.2.9]								
OG0000922|K04066|priA; primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]			PA					
OG0000827|K00789|metK; S-adenosylmethionine synthetase [EC:2.5.1.6]								
OG0004428|K03060|rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]								
OG0000845|K00942|E2.7.4.8; guanylate kinase [EC:2.7.4.8]								
OG0004004|K01591|pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]					PA			
OG0000673|K01955|carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]			PA					
OG0000674|K01956|carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]								
OG0006228||								
OG0000258|K01465|URA4; dihydroorotase [EC:3.5.2.3]			PA					
OG0000716|K00609|pyrB; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]								
OG0001278|K02825|pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]					PA			
OG0000952|K03625|nusB; N utilization substance protein B								
OG0000553|K02356|efp; elongation factor P			PA					
OG0000387|K03786|aroQ; 3-dehydroquinate dehydratase II [EC:4.2.1.10]			PA			PA		
OG0000923|K01735|aroB; 3-dehydroquinate synthase [EC:4.2.3.4]			PA					
OG0000750|K00891|E2.7.1.71; shikimate kinase [EC:2.7.1.71]			PA					
OG0000171|K00014|aroE; shikimate dehydrogenase [EC:1.1.1.25]			PA			PA		
OG0000986|K07082|UPF0755 protein								
OG0000830|K07447|ruvX; putative holliday junction resolvase [EC:3.1.-.-]								
OG0000985|K01872|AARS; alanyl-tRNA synthetase [EC:6.1.1.7]								
OG0001086|K02986|RP-S4; small subunit ribosomal protein S4								
OG0000802|K07478|ycaJ; putative ATPase								
OG0000306|K00951|relA; GTP pyrophosphokinase [EC:2.7.6.5]			PA					
OG0001226|K03074|secF; preprotein translocase subunit SecF			PA					
OG0001587|K03072|secD; preprotein translocase subunit SecD			PA					
OG0000979|K03210|yajC; preprotein translocase subunit YajC								
OG0000763|K03551|ruvB; holliday junction DNA helicase RuvB [EC:3.6.4.12]								
OG0000969|K03550|ruvA; holliday junction DNA helicase RuvA [EC:3.6.4.12]								
OG0001220|K01159|ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]								
OG0004459|K08681|pdxT; 5'-phosphate synthase pdxT subunit [EC:4.3.3.6]								
OG0003622|K06215|pdxS; pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]								
OG0005119|K19710|E2.7.7.53; ATP adenylyltransferase [EC:2.7.7.53]								
OG0000703|K01868|TARS; threonyl-tRNA synthetase [EC:6.1.1.3]								
OG0005165||								
OG0005120||								
OG0004460|K03632|mukB; chromosome partition protein MukB								
OG0006342||								
OG0001417|K02426|sufE; cysteine desulfuration protein SufE	PA				PA			
OG0003970||								
OG0006140||								
OG0001547|K03684|rnd; ribonuclease D [EC:3.1.13.5]								
OG0000099|K00074|paaH; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]			PA				PA	
OG0001085|K01662|dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]			PA		PA			
OG0000305|K01681|ACO; aconitate hydratase [EC:4.2.1.3]			PA			PA		
OG0006229||								
OG0006343||								
OG0001281|K01520|dut; dUTP pyrophosphatase [EC:3.6.1.23]			PA		PA			
OG0006230||								
OG0004431||								
OG0006231||								
OG0004943||								
OG0006178||								
OG0001744|K02232|cobQ; adenosylcobyric acid synthase [EC:6.3.5.10]			PA			PA		PA
OG0006232||								
OG0000368|K03086|rpoD; RNA polymerase primary sigma factor								
OG0002302||								
OG0006141||								
OG0000605|K01255|CARP; leucyl aminopeptidase [EC:3.4.11.1]			PA					
OG0006233||								
OG0001573|K00982|glnE; [glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89]								
OG0003949|K00886|ppgK; polyphosphate glucokinase [EC:2.7.1.63]			PA			PA		
OG0003968|K07164|uncharacterized protein								
OG0001526|K06895|lysE; L-lysine exporter family protein LysE/ArgO			PA			PA		
OG0001852|K05596|iciA; LysR family transcriptional regulator, chromosome initiation inhibitor	PA		PA					
OG0001634|K01785|galM; aldose 1-epimerase [EC:5.1.3.3]		PA	PA	PA		PA	PA	
OG0003960|K09992|uncharacterized protein	PA	PA	PA		PA	PA		PA
OG0003628||								
OG0001324|K15034|yaeJ; ribosome-associated protein		PA	PA		PA			
OG0002303|K15923|AXY8; alpha-L-fucosidase 2 [EC:3.2.1.51]					PA	PA		PA
OG0000301|K05343|treS; maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]		PA	PA			PA		
OG0000496|K01091|gph; phosphoglycolate phosphatase [EC:3.1.3.18]	PA	PA	PA		PA			
OG0001613||								
OG0004481|K02057|ABC.SS.P; simple sugar transport system permease protein	PA	PA	PA			PA		
OG0004473|K02057|ABC.SS.P; simple sugar transport system permease protein	PA	PA	PA			PA		
OG0002124||								
OG0002296||								
OG0000082|K11103|dctA; aerobic C4-dicarboxylate transport protein	PA		PA		PA	PA		
OG0002769||								
OG0003615||								
OG0005092||								
OG0006235||								
OG0001996||								
OG0002532||								
OG0000249|K02614|paaI; acyl-CoA thioesterase [EC:3.1.2.-]		PA						
OG0006323||								
OG0002805||								
OG0000582|K00560|thyA; thymidylate synthase [EC:2.1.1.45]			PA					
OG0000836|K00287|DHFR; dihydrofolate reductase [EC:1.5.1.3]								
OG0000393|K03386|PRDX2_4; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]	PA		PA					
OG0001146|K00163|aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]								
OG0000424|K00645|fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]			PA					
OG0000180|K00648|fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]		PA					PA	
OG0000688|K02078|acpP; acyl carrier protein					PA		PA	
OG0000203|K09458|fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]					PA		PA	
OG0006143||								
OG0000823|K02316|dnaG; DNA primase [EC:2.7.7.101]								
OG0000331|K05540|dusB; tRNA-dihydrouridine synthase B [EC:1.-.-.-]			PA					
OG0006289||								
OG0000556||								
OG0003113|K03584|recO; DNA repair protein RecO (recombination protein O)								
OG0002690|K01114|plc; phospholipase C [EC:3.1.4.3]	PA	PA	PA		PA		PA	PA
OG0000408|K07214|fes; enterochelin esterase and related enzymes	PA	PA		PA			PA	
OG0000911|K03595|era; GTPase								
OG0000949|K07042|ybeY; probable rRNA maturation factor								
OG0000759|K06217|phoH; phosphate starvation-inducible protein PhoH and related proteins								
OG0000828|K09761|rsmE; 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]								
OG0000675|K03686|dnaJ; molecular chaperone DnaJ								
OG0003114|K03705|hrcA; heat-inducible transcriptional repressor								
OG0001977|K09940|uncharacterized protein					PA			
OG0000718||								
OG0000910|K03596|lepA; GTP-binding protein LepA								
OG0001050|K02968|RP-S20; small subunit ribosomal protein S20								
OG0000882|K02237|comEA; competence protein ComEA						PA		
OG0000139|K01657|trpE; anthranilate synthase component I [EC:4.1.3.27]			PA					
OG0000404|K00426|cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]			PA		PA			
OG0000326|K00425|cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]			PA		PA	PA		
OG0004486||								
OG0002810||								
OG0000311||								
OG0000594|K01207|nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]			PA					
OG0003971|K16167|bpsA; alkylresorcinol/alkylpyrone synthase		PA	PA					
OG0004461||								
OG0001602|K03380|E1.14.13.7; phenol 2-monooxygenase [EC:1.14.13.7]			PA					
OG0000951|K09710|ybeB; ribosome-associated protein								
OG0000678|K00969|nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]								
OG0000760|K00147|proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]								
OG0000982|K00931|proB; glutamate 5-kinase [EC:2.7.2.11]								
OG0000983|K03979|obgE; GTPase [EC:3.6.5.-]								
OG0000984|K02899|RP-L27; large subunit ribosomal protein L27								
OG0003950||								
OG0002090|K00925|ackA; acetate kinase [EC:2.7.2.1]			PA				PA	PA
OG0000378|K08301|rng; ribonuclease G [EC:3.1.26.-]								
OG0006145||								
OG0006327||								
OG0000793|K11754|folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]			PA					
OG0000658|K01870|IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]								
OG0002369|K07044|uncharacterized protein						PA	PA	
OG0003005||								
OG0002376||								
OG0000021|K06147|ABCB-BAC; ATP-binding cassette, subfamily B, bacterial			PA		PA	PA		
OG0000332|K02014|TC.FEV.OM; iron complex outermembrane recepter protein			PA		PA	PA		
OG0000124|K04091|ssuD; alkanesulfonate monooxygenase [EC:1.14.14.5]		PA	PA			PA	PA	
OG0000007|K02667|pilR; two-component system, NtrC family, response regulator PilR						PA		
OG0000250|K03832|tonB; periplasmic protein TonB			PA					
OG0000224|K03562|tolQ; biopolymer transport protein TolQ			PA					
OG0006538|K01652|E2.2.1.6L; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]			PA					
OG0000018|K02035|ABC.PE.S; peptide/nickel transport system substrate-binding protein			PA			PA	PA	
OG0000528|K02014|TC.FEV.OM; iron complex outermembrane recepter protein			PA		PA	PA		
OG0002208||								
OG0004547||								
OG0000069|K16137|nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon		PA	PA	PA	PA	PA		
OG0001509|K06889|uncharacterized protein			PA			PA		
OG0004054|K15773|hipB; HTH-type transcriptional regulator / antitoxin HipB						PA		
OG0005232|K07154|hipA; serine/threonine-protein kinase HipA [EC:2.7.11.1]		PA	PA			PA	PA	
OG0002326||								
OG0001166||								
OG0003681||								
OG0005297||								
OG0002100||								
OG0002845||								
OG0002366|K01425|glsA; glutaminase [EC:3.5.1.2]		PA	PA		PA			
OG0005220|K00297|metF; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]		PA	PA					
OG0004559|K03462|NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]		PA			PA	PA		
OG0000073|K02015|ABC.FEV.P; iron complex transport system permease protein	PA	PA	PA			PA		PA
OG0000255|K02016|ABC.FEV.S; iron complex transport system substrate-binding protein	PA	PA				PA		PA
OG0000932||								
OG0000006||								
OG0001462|K13955|yogA; zinc-binding alcohol dehydrogenase/oxidoreductase								
OG0000811|K08223|fsr; MFS transporter, FSR family, fosmidomycin resistance protein	PA		PA		PA		PA	PA
OG0003584||								
OG0003080|K03446|emrB; MFS transporter, DHA2 family, multidrug resistance protein			PA		PA	PA	PA	
OG0000117|K03543|emrA; membrane fusion protein, multidrug efflux system			PA		PA	PA		
OG0000743|K01785|galM; aldose 1-epimerase [EC:5.1.3.3]		PA	PA	PA		PA	PA	
OG0002219|K00244|frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]								
OG0000324|K00140|mmsA; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]			PA		PA			
OG0000230|K00822|E2.6.1.18; beta-alanine--pyruvate transaminase [EC:2.6.1.18]			PA			PA		
OG0000696|K21699|bauR; LysR family transcriptional regulator, transcriptional activator for bauABCD operon								
OG0001751|K03608|minE; cell division topological specificity factor			PA					
OG0001552|K03453|TC.BASS; bile acid:Na+ symporter, BASS family		PA	PA				PA	
OG0003041|K00248|ACADS; butyryl-CoA dehydrogenase [EC:1.3.8.1]		PA	PA	PA		PA		
OG0000001|K00059|fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]		PA	PA		PA	PA		
OG0002449|K07459|ybjD; putative ATP-dependent endonuclease of the OLD family			PA					
OG0002360|K00249|ACADM; acyl-CoA dehydrogenase [EC:1.3.8.7]		PA	PA					
OG0000170||								
OG0004274|K03657|uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]								
OG0005298||								
OG0000569|K15125|fhaB; filamentous hemagglutinin			PA		PA		PA	PA
OG0001494|K11017|shlB; hemolysin activation/secretion protein								
OG0000024|K03566|gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator			PA			PA		
OG0000150||								
OG0005224||								
OG0001341||								
OG0001218||								
OG0000218|K13643|iscR; Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor			PA					
OG0003948|K03885|ndh; NADH dehydrogenase [EC:1.6.99.3]			PA			PA		
OG0000403||								
OG0001742||								
OG0003082|K03464|catC; muconolactone D-isomerase [EC:5.3.3.4]		PA	PA					
OG0001723|K03381|catA; catechol 1,2-dioxygenase [EC:1.13.11.1]		PA	PA				PA	
OG0001390|K00615|E2.2.1.1; transketolase [EC:2.2.1.1]			PA				PA	
OG0000719|K01434|E3.5.1.11; penicillin amidase [EC:3.5.1.11]			PA	PA		PA		
OG0002937||								
OG0004421|K00276|AOC3; primary-amine oxidase [EC:1.4.3.21]	PA	PA	PA			PA		
OG0000366|K03863|vanB; vanillate monooxygenase ferredoxin subunit		PA	PA			PA		PA
OG0001265|K00615|E2.2.1.1; transketolase [EC:2.2.1.1]			PA				PA	
OG0000818|K05599|antA; anthranilate 1,2-dioxygenase (deaminating, decarboxylating) large subunit [EC:1.14.12.1]								
OG0004374||								
OG0001645|K22027|iacA; indole-3-acetate monooxygenase [EC:1.14.13.235]								
OG0002773|K09682|hpr; MarR family transcriptional regulator, protease production regulatory protein HPr								
OG0001868||								
OG0001867||								
OG0003279||								
OG0001768||								
OG0000257|K01069|gloB; hydroxyacylglutathione hydrolase [EC:3.1.2.6]	PA	PA		PA				
OG0002835|K07112|uncharacterized protein	PA		PA			PA	PA	
OG0006564||								
OG0000508|K00117|gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]			PA			PA		PA
OG0003493||								
OG0001016|K07267|oprB; porin			PA					
