KO	category-1	category-2	category-3	category-4	N of genes
K00791	Metabolism	Zeatin biosynthesis	Zeatin biosynthesis	miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]	1
K00791	Brite Hierarchies	Prenyltransferases [BR:ko01006]	Prenyltransferases [BR:ko01006]	miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]	1
K00791	Brite Hierarchies	Transfer RNA biogenesis [BR:ko03016]	Transfer RNA biogenesis [BR:ko03016]	miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]	1
K00793	Metabolism	Riboflavin metabolism	Riboflavin metabolism	ribE, RIB5; riboflavin synthase [EC:2.5.1.9]	1
K00794	Metabolism	Riboflavin metabolism	Riboflavin metabolism	ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	2
K00795	Metabolism	Terpenoid backbone biosynthesis	Terpenoid backbone biosynthesis	ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	1
K00795	Brite Hierarchies	Prenyltransferases [BR:ko01006]	Prenyltransferases [BR:ko01006]	ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	1
K00796	Metabolism	Folate biosynthesis	Folate biosynthesis	folP; dihydropteroate synthase [EC:2.5.1.15]	1
K00797	Metabolism	Arginine and proline metabolism	Arginine and proline metabolism	speE, SRM; spermidine synthase [EC:2.5.1.16]	2
K00797	Metabolism	Cysteine and methionine metabolism	Cysteine and methionine metabolism	speE, SRM; spermidine synthase [EC:2.5.1.16]	2
K00797	Metabolism	Glutathione metabolism	Glutathione metabolism	speE, SRM; spermidine synthase [EC:2.5.1.16]	2
K00797	Metabolism	beta-Alanine metabolism	beta-Alanine metabolism	speE, SRM; spermidine synthase [EC:2.5.1.16]	2
K00798	Metabolism	Porphyrin and chlorophyll metabolism	Porphyrin and chlorophyll metabolism	MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]	1
K00799	Metabolism	Glutathione metabolism	Glutathione metabolism	GST, gst; glutathione S-transferase [EC:2.5.1.18]	8
K00799	Metabolism	Drug metabolism - cytochrome P450	Drug metabolism - cytochrome P450	GST, gst; glutathione S-transferase [EC:2.5.1.18]	8
K00799	Metabolism	Drug metabolism - other enzymes	Drug metabolism - other enzymes	GST, gst; glutathione S-transferase [EC:2.5.1.18]	8
K00799	Metabolism	Metabolism of xenobiotics by cytochrome P450	Metabolism of xenobiotics by cytochrome P450	GST, gst; glutathione S-transferase [EC:2.5.1.18]	8
K00799	Human Diseases	Chemical carcinogenesis	Chemical carcinogenesis	GST, gst; glutathione S-transferase [EC:2.5.1.18]	8
K00799	Human Diseases	Pathways in cancer	Pathways in cancer	GST, gst; glutathione S-transferase [EC:2.5.1.18]	8
K00799	Human Diseases	Hepatocellular carcinoma	Hepatocellular carcinoma	GST, gst; glutathione S-transferase [EC:2.5.1.18]	8
K00799	Human Diseases	Fluid shear stress and atherosclerosis	Fluid shear stress and atherosclerosis	GST, gst; glutathione S-transferase [EC:2.5.1.18]	8
K00799	Human Diseases	Platinum drug resistance	Platinum drug resistance	GST, gst; glutathione S-transferase [EC:2.5.1.18]	8
K00799	Brite Hierarchies	Transporters [BR:ko02000]	Transporters [BR:ko02000]	GST, gst; glutathione S-transferase [EC:2.5.1.18]	8
K00800	Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	2
K00806	Metabolism	Terpenoid backbone biosynthesis	Terpenoid backbone biosynthesis	uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]	1
K00806	Brite Hierarchies	Prenyltransferases [BR:ko01006]	Prenyltransferases [BR:ko01006]	uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]	1
K00808	Metabolism	Tropane, piperidine and pyridine alkaloid biosynthesis	Tropane, piperidine and pyridine alkaloid biosynthesis	hss; homospermidine synthase [EC:2.5.1.44]	1
K00812	Metabolism	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism	aspB; aspartate aminotransferase [EC:2.6.1.1]	3
K00812	Metabolism	Arginine and proline metabolism	Arginine and proline metabolism	aspB; aspartate aminotransferase [EC:2.6.1.1]	3
K00812	Metabolism	Arginine biosynthesis	Arginine biosynthesis	aspB; aspartate aminotransferase [EC:2.6.1.1]	3
K00812	Metabolism	Cysteine and methionine metabolism	Cysteine and methionine metabolism	aspB; aspartate aminotransferase [EC:2.6.1.1]	3
K00812	Metabolism	Phenylalanine metabolism	Phenylalanine metabolism	aspB; aspartate aminotransferase [EC:2.6.1.1]	3
K00812	Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	aspB; aspartate aminotransferase [EC:2.6.1.1]	3
K00812	Metabolism	Tyrosine metabolism	Tyrosine metabolism	aspB; aspartate aminotransferase [EC:2.6.1.1]	3
K00812	Metabolism	Isoquinoline alkaloid biosynthesis	Isoquinoline alkaloid biosynthesis	aspB; aspartate aminotransferase [EC:2.6.1.1]	3
K00812	Metabolism	Novobiocin biosynthesis	Novobiocin biosynthesis	aspB; aspartate aminotransferase [EC:2.6.1.1]	3
K00812	Metabolism	Tropane, piperidine and pyridine alkaloid biosynthesis	Tropane, piperidine and pyridine alkaloid biosynthesis	aspB; aspartate aminotransferase [EC:2.6.1.1]	3
K00812	Brite Hierarchies	Amino acid related enzymes [BR:ko01007]	Amino acid related enzymes [BR:ko01007]	aspB; aspartate aminotransferase [EC:2.6.1.1]	3
K00817	Metabolism	Histidine metabolism	Histidine metabolism	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	1
K00817	Metabolism	Phenylalanine metabolism	Phenylalanine metabolism	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	1
K00817	Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	1
K00817	Metabolism	Tyrosine metabolism	Tyrosine metabolism	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	1
K00817	Metabolism	Novobiocin biosynthesis	Novobiocin biosynthesis	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	1
K00817	Metabolism	Tropane, piperidine and pyridine alkaloid biosynthesis	Tropane, piperidine and pyridine alkaloid biosynthesis	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	1
K00817	Brite Hierarchies	Amino acid related enzymes [BR:ko01007]	Amino acid related enzymes [BR:ko01007]	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	1
K00820	Metabolism	Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism	glmS, GFPT; glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]	1
K00820	Metabolism	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism	glmS, GFPT; glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]	1
K00820	Human Diseases	Insulin resistance	Insulin resistance	glmS, GFPT; glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]	1
K00820	Brite Hierarchies	Peptidases [BR:ko01002]	Peptidases [BR:ko01002]	glmS, GFPT; glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]	1
K00821	Metabolism	Arginine biosynthesis	Arginine biosynthesis	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	2
K00821	Metabolism	Lysine biosynthesis	Lysine biosynthesis	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	2
K00821	Brite Hierarchies	Amino acid related enzymes [BR:ko01007]	Amino acid related enzymes [BR:ko01007]	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	2
K00822	Metabolism	Propanoate metabolism	Propanoate metabolism	E2.6.1.18; beta-alanine--pyruvate transaminase [EC:2.6.1.18]	2
K00822	Metabolism	Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	E2.6.1.18; beta-alanine--pyruvate transaminase [EC:2.6.1.18]	2
K00822	Metabolism	beta-Alanine metabolism	beta-Alanine metabolism	E2.6.1.18; beta-alanine--pyruvate transaminase [EC:2.6.1.18]	2
K00822	Brite Hierarchies	Amino acid related enzymes [BR:ko01007]	Amino acid related enzymes [BR:ko01007]	E2.6.1.18; beta-alanine--pyruvate transaminase [EC:2.6.1.18]	2
K00826	Metabolism	Cysteine and methionine metabolism	Cysteine and methionine metabolism	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]	2
K00826	Metabolism	Valine, leucine and isoleucine biosynthesis	Valine, leucine and isoleucine biosynthesis	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]	2
K00826	Metabolism	Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]	2
K00826	Metabolism	Pantothenate and CoA biosynthesis	Pantothenate and CoA biosynthesis	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]	2
K00826	Brite Hierarchies	Amino acid related enzymes [BR:ko01007]	Amino acid related enzymes [BR:ko01007]	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]	2
K00831	Metabolism	Methane metabolism	Methane metabolism	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]	1
K00831	Metabolism	Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]	1
K00831	Metabolism	Vitamin B6 metabolism	Vitamin B6 metabolism	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]	1
K00831	Brite Hierarchies	Amino acid related enzymes [BR:ko01007]	Amino acid related enzymes [BR:ko01007]	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]	1
K00832	Metabolism	Cysteine and methionine metabolism	Cysteine and methionine metabolism	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]	2
K00832	Metabolism	Phenylalanine metabolism	Phenylalanine metabolism	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]	2
K00832	Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]	2
K00832	Metabolism	Tyrosine metabolism	Tyrosine metabolism	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]	2
K00832	Metabolism	Isoquinoline alkaloid biosynthesis	Isoquinoline alkaloid biosynthesis	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]	2
K00832	Metabolism	Novobiocin biosynthesis	Novobiocin biosynthesis	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]	2
K00832	Metabolism	Tropane, piperidine and pyridine alkaloid biosynthesis	Tropane, piperidine and pyridine alkaloid biosynthesis	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]	2
K00832	Brite Hierarchies	Amino acid related enzymes [BR:ko01007]	Amino acid related enzymes [BR:ko01007]	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]	2
K00833	Metabolism	Biotin metabolism	Biotin metabolism	bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]	1
K00833	Brite Hierarchies	Amino acid related enzymes [BR:ko01007]	Amino acid related enzymes [BR:ko01007]	bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]	1
K00836	Metabolism	Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]	1
K00836	Brite Hierarchies	Amino acid related enzymes [BR:ko01007]	Amino acid related enzymes [BR:ko01007]	ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]	1
K00845	Metabolism	Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism	glk; glucokinase [EC:2.7.1.2]	1
K00845	Metabolism	Galactose metabolism	Galactose metabolism	glk; glucokinase [EC:2.7.1.2]	1
K00845	Metabolism	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	glk; glucokinase [EC:2.7.1.2]	1
K00845	Metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	glk; glucokinase [EC:2.7.1.2]	1
K00845	Metabolism	Neomycin, kanamycin and gentamicin biosynthesis	Neomycin, kanamycin and gentamicin biosynthesis	glk; glucokinase [EC:2.7.1.2]	1
K00845	Metabolism	Streptomycin biosynthesis	Streptomycin biosynthesis	glk; glucokinase [EC:2.7.1.2]	1
K00851	Metabolism	Pentose phosphate pathway	Pentose phosphate pathway	E2.7.1.12, gntK, idnK; gluconokinase [EC:2.7.1.12]	1
K00858	Metabolism	Nicotinate and nicotinamide metabolism	Nicotinate and nicotinamide metabolism	ppnK, NADK; NAD+ kinase [EC:2.7.1.23]	1
K00859	Metabolism	Pantothenate and CoA biosynthesis	Pantothenate and CoA biosynthesis	coaE; dephospho-CoA kinase [EC:2.7.1.24]	1
K00860	Metabolism	Sulfur metabolism	Sulfur metabolism	cysC; adenylylsulfate kinase [EC:2.7.1.25]	1
K00860	Metabolism	Purine metabolism	Purine metabolism	cysC; adenylylsulfate kinase [EC:2.7.1.25]	1
K00864	Metabolism	Glycerolipid metabolism	Glycerolipid metabolism	glpK, GK; glycerol kinase [EC:2.7.1.30]	3
K00864	Organismal Systems	PPAR signaling pathway	PPAR signaling pathway	glpK, GK; glycerol kinase [EC:2.7.1.30]	3
K00864	Organismal Systems	Plant-pathogen interaction	Plant-pathogen interaction	glpK, GK; glycerol kinase [EC:2.7.1.30]	3
K00864	Brite Hierarchies	Exosome [BR:ko04147]	Exosome [BR:ko04147]	glpK, GK; glycerol kinase [EC:2.7.1.30]	3
K00865	Metabolism	Glyoxylate and dicarboxylate metabolism	Glyoxylate and dicarboxylate metabolism	glxK, garK; glycerate 2-kinase [EC:2.7.1.165]	1
K00865	Metabolism	Glycerolipid metabolism	Glycerolipid metabolism	glxK, garK; glycerate 2-kinase [EC:2.7.1.165]	1
K00865	Metabolism	Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	glxK, garK; glycerate 2-kinase [EC:2.7.1.165]	1
K00868	Metabolism	Vitamin B6 metabolism	Vitamin B6 metabolism	pdxK, pdxY; pyridoxine kinase [EC:2.7.1.35]	1
K00873	Metabolism	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	PK, pyk; pyruvate kinase [EC:2.7.1.40]	1
K00873	Metabolism	Pyruvate metabolism	Pyruvate metabolism	PK, pyk; pyruvate kinase [EC:2.7.1.40]	1
K00873	Metabolism	Purine metabolism	Purine metabolism	PK, pyk; pyruvate kinase [EC:2.7.1.40]	1
K00873	Organismal Systems	Glucagon signaling pathway	Glucagon signaling pathway	PK, pyk; pyruvate kinase [EC:2.7.1.40]	1
K00873	Human Diseases	Central carbon metabolism in cancer	Central carbon metabolism in cancer	PK, pyk; pyruvate kinase [EC:2.7.1.40]	1
K00873	Human Diseases	Viral carcinogenesis	Viral carcinogenesis	PK, pyk; pyruvate kinase [EC:2.7.1.40]	1
K00873	Human Diseases	Type II diabetes mellitus	Type II diabetes mellitus	PK, pyk; pyruvate kinase [EC:2.7.1.40]	1
K00873	Human Diseases	Human papillomavirus infection	Human papillomavirus infection	PK, pyk; pyruvate kinase [EC:2.7.1.40]	1
K00873	Brite Hierarchies	Membrane trafficking [BR:ko04131]	Membrane trafficking [BR:ko04131]	PK, pyk; pyruvate kinase [EC:2.7.1.40]	1
K00873	Brite Hierarchies	Exosome [BR:ko04147]	Exosome [BR:ko04147]	PK, pyk; pyruvate kinase [EC:2.7.1.40]	1
K00874	Metabolism	Pentose phosphate pathway	Pentose phosphate pathway	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	3
K00882	Metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	fruK; 1-phosphofructokinase [EC:2.7.1.56]	1
K00883	Metabolism	Galactose metabolism	Galactose metabolism	dgoK; 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]	1
K00884	Metabolism	Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism	NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]	1
K00891	Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	E2.7.1.71, aroK, aroL; shikimate kinase [EC:2.7.1.71]	1
K00901	Metabolism	Glycerolipid metabolism	Glycerolipid metabolism	dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]	1
K00901	Metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]	1
K00901	Environmental Information Processing	Phosphatidylinositol signaling system	Phosphatidylinositol signaling system	dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]	1
K00901	Environmental Information Processing	Phospholipase D signaling pathway	Phospholipase D signaling pathway	dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]	1
K00901	Human Diseases	Choline metabolism in cancer	Choline metabolism in cancer	dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]	1
K00912	Metabolism	Lipopolysaccharide biosynthesis	Lipopolysaccharide biosynthesis	lpxK; tetraacyldisaccharide 4-kinase [EC:2.7.1.130]	1
K00912	Brite Hierarchies	Lipopolysaccharide biosynthesis proteins [BR:ko01005]	Lipopolysaccharide biosynthesis proteins [BR:ko01005]	lpxK; tetraacyldisaccharide 4-kinase [EC:2.7.1.130]	1
K00919	Metabolism	Terpenoid backbone biosynthesis	Terpenoid backbone biosynthesis	ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]	1
K00925	Metabolism	Propanoate metabolism	Propanoate metabolism	ackA; acetate kinase [EC:2.7.2.1]	1
K00925	Metabolism	Pyruvate metabolism	Pyruvate metabolism	ackA; acetate kinase [EC:2.7.2.1]	1
K00925	Metabolism	Carbon fixation pathways in prokaryotes	Carbon fixation pathways in prokaryotes	ackA; acetate kinase [EC:2.7.2.1]	1
K00925	Metabolism	Methane metabolism	Methane metabolism	ackA; acetate kinase [EC:2.7.2.1]	1
K00925	Metabolism	Taurine and hypotaurine metabolism	Taurine and hypotaurine metabolism	ackA; acetate kinase [EC:2.7.2.1]	1
K00927	Metabolism	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	1
K00927	Metabolism	Carbon fixation in photosynthetic organisms	Carbon fixation in photosynthetic organisms	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	1
K00927	Brite Hierarchies	Exosome [BR:ko04147]	Exosome [BR:ko04147]	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	1
K00928	Metabolism	Cysteine and methionine metabolism	Cysteine and methionine metabolism	lysC; aspartate kinase [EC:2.7.2.4]	1
K00928	Metabolism	Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	lysC; aspartate kinase [EC:2.7.2.4]	1
K00928	Metabolism	Lysine biosynthesis	Lysine biosynthesis	lysC; aspartate kinase [EC:2.7.2.4]	1
K00928	Metabolism	Monobactam biosynthesis	Monobactam biosynthesis	lysC; aspartate kinase [EC:2.7.2.4]	1
K00930	Metabolism	Arginine biosynthesis	Arginine biosynthesis	argB; acetylglutamate kinase [EC:2.7.2.8]	1
K00931	Metabolism	Arginine and proline metabolism	Arginine and proline metabolism	proB; glutamate 5-kinase [EC:2.7.2.11]	1
K00931	Metabolism	Carbapenem biosynthesis	Carbapenem biosynthesis	proB; glutamate 5-kinase [EC:2.7.2.11]	1
K00937	Metabolism	Oxidative phosphorylation	Oxidative phosphorylation	ppk; polyphosphate kinase [EC:2.7.4.1]	1
K00937	Genetic Information Processing	RNA degradation	RNA degradation	ppk; polyphosphate kinase [EC:2.7.4.1]	1
K00937	Brite Hierarchies	Messenger RNA biogenesis [BR:ko03019]	Messenger RNA biogenesis [BR:ko03019]	ppk; polyphosphate kinase [EC:2.7.4.1]	1
K00939	Metabolism	Purine metabolism	Purine metabolism	adk, AK; adenylate kinase [EC:2.7.4.3]	1
K00939	Metabolism	Thiamine metabolism	Thiamine metabolism	adk, AK; adenylate kinase [EC:2.7.4.3]	1
K00939	Brite Hierarchies	Exosome [BR:ko04147]	Exosome [BR:ko04147]	adk, AK; adenylate kinase [EC:2.7.4.3]	1
K00940	Metabolism	Purine metabolism	Purine metabolism	ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]	1
K00940	Metabolism	Pyrimidine metabolism	Pyrimidine metabolism	ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]	1
K00940	Metabolism	Drug metabolism - other enzymes	Drug metabolism - other enzymes	ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]	1
K00940	Environmental Information Processing	MAPK signaling pathway - plant	MAPK signaling pathway - plant	ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]	1
K00940	Brite Hierarchies	Membrane trafficking [BR:ko04131]	Membrane trafficking [BR:ko04131]	ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]	1
K00941	Metabolism	Thiamine metabolism	Thiamine metabolism	thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	1
K00942	Metabolism	Purine metabolism	Purine metabolism	E2.7.4.8, gmk; guanylate kinase [EC:2.7.4.8]	1
K00943	Metabolism	Pyrimidine metabolism	Pyrimidine metabolism	tmk, DTYMK; dTMP kinase [EC:2.7.4.9]	1
K00945	Metabolism	Pyrimidine metabolism	Pyrimidine metabolism	cmk; CMP/dCMP kinase [EC:2.7.4.25]	1
K00946	Metabolism	Thiamine metabolism	Thiamine metabolism	thiL; thiamine-monophosphate kinase [EC:2.7.4.16]	1
K00948	Metabolism	Pentose phosphate pathway	Pentose phosphate pathway	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	1
K00948	Metabolism	Purine metabolism	Purine metabolism	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	1
K00950	Metabolism	Folate biosynthesis	Folate biosynthesis	folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	2
K00951	Metabolism	Purine metabolism	Purine metabolism	relA; GTP pyrophosphokinase [EC:2.7.6.5]	2
K00954	Metabolism	Pantothenate and CoA biosynthesis	Pantothenate and CoA biosynthesis	E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	1
K00955	Metabolism	Sulfur metabolism	Sulfur metabolism	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	1
K00955	Metabolism	Purine metabolism	Purine metabolism	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	1
K00955	Metabolism	Selenocompound metabolism	Selenocompound metabolism	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	1
K00955	Metabolism	Monobactam biosynthesis	Monobactam biosynthesis	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	1
K00957	Metabolism	Sulfur metabolism	Sulfur metabolism	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	1
K00957	Metabolism	Purine metabolism	Purine metabolism	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	1
K00957	Metabolism	Selenocompound metabolism	Selenocompound metabolism	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	1
K00957	Metabolism	Monobactam biosynthesis	Monobactam biosynthesis	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	1
K00962	Genetic Information Processing	RNA degradation	RNA degradation	pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	1
K00962	Brite Hierarchies	Messenger RNA biogenesis [BR:ko03019]	Messenger RNA biogenesis [BR:ko03019]	pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	1
K00962	Brite Hierarchies	Transfer RNA biogenesis [BR:ko03016]	Transfer RNA biogenesis [BR:ko03016]	pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	1
K00963	Metabolism	Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism	UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	1
K00963	Metabolism	Galactose metabolism	Galactose metabolism	UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	1
K00963	Metabolism	Pentose and glucuronate interconversions	Pentose and glucuronate interconversions	UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	1
K00963	Metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	1
K00969	Metabolism	Nicotinate and nicotinamide metabolism	Nicotinate and nicotinamide metabolism	nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	1
K00970	Genetic Information Processing	RNA degradation	RNA degradation	pcnB; poly(A) polymerase [EC:2.7.7.19]	1
K00970	Brite Hierarchies	Messenger RNA biogenesis [BR:ko03019]	Messenger RNA biogenesis [BR:ko03019]	pcnB; poly(A) polymerase [EC:2.7.7.19]	1
K00971	Metabolism	Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism	manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	2
K00971	Metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	2
K00973	Metabolism	Polyketide sugar unit biosynthesis	Polyketide sugar unit biosynthesis	E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	2
K00973	Metabolism	Acarbose and validamycin biosynthesis	Acarbose and validamycin biosynthesis	E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	2
K00973	Metabolism	Streptomycin biosynthesis	Streptomycin biosynthesis	E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	2
K00974	Genetic Information Processing	RNA transport	RNA transport	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	1
K00974	Brite Hierarchies	Transfer RNA biogenesis [BR:ko03016]	Transfer RNA biogenesis [BR:ko03016]	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	1
K00979	Metabolism	Lipopolysaccharide biosynthesis	Lipopolysaccharide biosynthesis	kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]	1
K00979	Brite Hierarchies	Lipopolysaccharide biosynthesis proteins [BR:ko01005]	Lipopolysaccharide biosynthesis proteins [BR:ko01005]	kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]	1
K00981	Metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]	2
