	PSPTO_ID	OG	KO id	KO description
Pto|1250	PSPTO_1283	OG0001454	K07215	pigA; heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]
Pto|1251	PSPTO_1284	OG0002040	K16087	TC.FEV.OM3; hemoglobin/transferrin/lactoferrin receptor protein
Pto|1252	PSPTO_1285	OG0000043	K07165	fecR; transmembrane sensor
Pto|1253	PSPTO_1286	OG0000039	K03088	"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"
Pto|1254	PSPTO_1287	OG0000292	K00134	GAPDH; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
Pto|1255	PSPTO_1288	OG0002057	K01690	edd; phosphogluconate dehydratase [EC:4.2.1.12]
Pto|1256	PSPTO_1289	OG0001453	K00845	glk; glucokinase [EC:2.7.1.2]
Pto|1257	PSPTO_1290	OG0000003	K07657	"phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB"
Pto|1258	PSPTO_1291	OG0003519		
Pto|1259	PSPTO_1292	OG0002489	K17315	gtsA; glucose/mannose transport system substrate-binding protein
Pto|1260	PSPTO_1293	OG0000046	K02025	ABC.MS.P; multiple sugar transport system permease protein
Pto|1261	PSPTO_1294	OG0000041	K17317	gtsC; glucose/mannose transport system permease protein
Pto|1262	PSPTO_1295	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
Pto|1263	PSPTO_1296	OG0001016	K07267	oprB; porin
Pto|1265	PSPTO_1298	OG0001662	K01792	E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
Pto|1266	PSPTO_1299	OG0000232	K19337	"hexR; RpiR family transcriptional regulator, carbohydrate utilization regulator"
Pto|1267	PSPTO_1300	OG0000236	K00036	G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
Pto|1268	PSPTO_1301	OG0001447	K01057	PGLS; 6-phosphogluconolactonase [EC:3.1.1.31]
Pto|1269	PSPTO_1302	OG0000293	K01625	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
Pto|1270	PSPTO_1303	OG0001581	K09954	uncharacterized protein
Pto|1271	PSPTO_1304	OG0001708		
Pto|1272	PSPTO_1305	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
Pto|1273	PSPTO_1306	OG0000010	K07636	"phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]"
Pto|1274	PSPTO_1307	OG0000003	K07657	"phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB"
Pto|1275	PSPTO_1308	OG0000023	K18138	acrB; multidrug efflux pump
Pto|1276	PSPTO_1309	OG0000066	K03585	"acrA; membrane fusion protein, multidrug efflux system"
Pto|1277	PSPTO_1310	OG0000179	K07481	transposase
Pto|1278	PSPTO_1311			
Pto|1280	PSPTO_1313	OG0000570	K15540	ecpD; chaperone protein EcpD
Pto|1283	PSPTO_1318	OG0004540		
Pto|1284	PSPTO_1319	OG0004889		
Pto|1285	PSPTO_1320	OG0003418		
Pto|1287	PSPTO_1322	OG0003830		
Pto|1288	PSPTO_1323	OG0000445	K03415	"cheV; two-component system, chemotaxis family, chemotaxis protein CheV"
Pto|1289	PSPTO_1324	OG0000840	K03611	dsbB; disulfide bond formation protein DsbB
Pto|1290	PSPTO_1325	OG0001338	K02297	cyoA; cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]
Pto|1291	PSPTO_1326	OG0000262	K02274	coxA; cytochrome c oxidase subunit I [EC:1.9.3.1]
Pto|1292	PSPTO_1327	OG0000280	K02299	cyoC; cytochrome o ubiquinol oxidase subunit III
Pto|1293	PSPTO_1328	OG0001230	K02300	cyoD; cytochrome o ubiquinol oxidase subunit IV
Pto|1294	PSPTO_1329	OG0000550	K02257	COX10; heme o synthase [EC:2.5.1.141]
Pto|1295	PSPTO_1330	OG0000032	K11936	"pgaC; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]"
Pto|1296	PSPTO_1331	OG0000121	K00661	maa; maltose O-acetyltransferase [EC:2.3.1.79]
Pto|1297	PSPTO_1332	OG0000154	K00826	E2.6.1.42; branched-chain amino acid aminotransferase [EC:2.6.1.42]
Pto|1298	PSPTO_1333	OG0006477		
Pto|1299	PSPTO_1334	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
Pto|1300	PSPTO_1335	OG0002677	K01713	pheC; cyclohexadienyl dehydratase [EC:4.2.1.51 4.2.1.91]
Pto|1302	PSPTO_1337	OG0001462	K13955	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase
Pto|1303	PSPTO_1338	OG0001736	K04565	"SOD1; superoxide dismutase, Cu-Zn family [EC:1.15.1.1]"
Pto|1304	PSPTO_1339	OG0005830		
Pto|1305	PSPTO_1340	OG0000279	K01673	cynT; carbonic anhydrase [EC:4.2.1.1]
Pto|1306	PSPTO_1341	OG0006470		
Pto|1307	PSPTO_1342	OG0004595		
Pto|1308	PSPTO_1343	OG0003396	K01439	dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]
Pto|1309	PSPTO_1344	OG0004166		
Pto|1310	PSPTO_1345	OG0001612	K01053	E3.1.1.17; gluconolactonase [EC:3.1.1.17]
Pto|1311	PSPTO_1346	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
Pto|1312	PSPTO_1347	OG0000349	K03299	"TC.GNTP; gluconate:H+ symporter, GntP family"
Pto|1313	PSPTO_1348	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
Pto|1314	PSPTO_1349	OG0002794		
Pto|1315	PSPTO_1350			
Pto|1316	PSPTO_1351			
Pto|1317	PSPTO_1352	OG0000028	K11475	"vanR; GntR family transcriptional regulator, vanillate catabolism transcriptional regulator"
Pto|1322	PSPTO_1357	OG0007180	K01455	E3.5.1.49; formamidase [EC:3.5.1.49]
Pto|1326	PSPTO_1361	OG0003095	K01457	atzF; allophanate hydrolase [EC:3.5.1.54]
Pto|1327	PSPTO_1362	OG0002267		
Pto|1328	PSPTO_1363	OG0000438	K08368	"yaaU; MFS transporter, putative metabolite transport protein"
Pto|1329	PSPTO_1364	OG0002570		
Pto|1330	PSPTO_1365	OG0001363	K00799	GST; glutathione S-transferase [EC:2.5.1.18]
Pto|1331	PSPTO_1366	OG0003252		
Pto|1332	PSPTO_1367	OG0004240		
Pto|1333	PSPTO_1368	OG0005791		
Pto|1334	PSPTO_1369			
Pto|1335	PSPTO_1370			
Pto|1336	PSPTO_1371	OG0000637	K08994	yneE; ion channel-forming bestrophin family protein
Pto|1337	PSPTO_1372			
Pto|1338	PSPTO_1373			
Pto|1339	PSPTO_1374			
Pto|1340	PSPTO_1375			
Pto|1341	PSPTO_1376			
Pto|1342	PSPTO_1377			
Pto|1343	PSPTO_1378	OG0000557	K08307	mltD; membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]
Pto|1344	PSPTO_1379	OG0000007	K02667	"pilR; two-component system, NtrC family, response regulator PilR"
Pto|1345	PSPTO_1380	OG0000007	K02667	"pilR; two-component system, NtrC family, response regulator PilR"
Pto|1346	PSPTO_1381			
Pto|1347	PSPTO_1382			
Pto|1348	PSPTO_1383			
Pto|1349	PSPTO_1384	OG0005908	K03222	yscJ; type III secretion protein J
Pto|1350	PSPTO_1385	OG0005907		
Pto|1351	PSPTO_1386	OG0005906	K03223	yscL; type III secretion protein L
Pto|1352	PSPTO_1387			
Pto|1353	PSPTO_1388			
Pto|1354	PSPTO_1389	OG0005905	K03219	yscC; type III secretion protein C
Pto|1355	PSPTO_1390	OG0005904		
Pto|1356	PSPTO_1391	OG0005903		
Pto|1357	PSPTO_1392	OG0005902	K03229	yscU; type III secretion protein U
Pto|1358	PSPTO_1393	OG0005901	K03228	yscT; type III secretion protein T
Pto|1360	PSPTO_1395	OG0005900	K03226	yscR; type III secretion protein R
Pto|1361	PSPTO_1396	OG0005899	K03225	yscQ; type III secretion protein Q
Pto|1362	PSPTO_1397			
Pto|1363	PSPTO_1398			
Pto|1364	PSPTO_1399			
Pto|1365	PSPTO_1400	OG0001255	K02412	fliI; flagellum-specific ATP synthase [EC:3.6.3.50]
Pto|1366	PSPTO_1401	OG0005898	K03220	yscD; type III secretion protein D
Pto|1367	PSPTO_1402	OG0001138	K02400	flhA; flagellar biosynthesis protein FlhA
Pto|1368	PSPTO_1403	OG0005897	K04058	yscW; type III secretion protein W
Pto|1369	PSPTO_1404	OG0000019	K03088	"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"
Pto|1370	PSPTO_1405			
Pto|1371	PSPTO_1406	OG0002060		
Pto|1372	PSPTO_1407	OG0000179	K07481	transposase
Pto|1374	PSPTO_1408			
Pto|1375	PSPTO_1409	OG0007700		
Pto|1376	PSPTO_1410			
Pto|1377	PSPTO_1411			
Pto|1378	PSPTO_1412	OG0001227	K07568	queA; S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]
Pto|1379	PSPTO_1413	OG0001116	K00773	tgt; queuine tRNA-ribosyltransferase [EC:2.4.2.29]
Pto|1380	PSPTO_1414	OG0000979	K03210	yajC; preprotein translocase subunit YajC
Pto|1381	PSPTO_1415	OG0001587	K03072	secD; preprotein translocase subunit SecD
Pto|1382	PSPTO_1416	OG0001226	K03074	secF; preprotein translocase subunit SecF
Pto|1383	PSPTO_1417	OG0002259		
Pto|1385	PSPTO_1419	OG0000479	K01092	E3.1.3.25; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
Pto|1386	PSPTO_1420	OG0001717	K15396	trmJ; tRNA (cytidine32/uridine32-2'-O)-methyltransferase [EC:2.1.1.200]
Pto|1387	PSPTO_1421	OG0000355	K00640	cysE; serine O-acetyltransferase [EC:2.3.1.30]
Pto|1388	PSPTO_1422	OG0000218	K13643	"iscR; Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor"
Pto|1389	PSPTO_1423	OG0000281	K04487	iscS; cysteine desulfurase [EC:2.8.1.7]
Pto|1390	PSPTO_1424	OG0001586	K04488	iscU; nitrogen fixation protein NifU and related proteins
Pto|1391	PSPTO_1425	OG0000276	K13628	iscA; iron-sulfur cluster assembly protein
Pto|1392	PSPTO_1426	OG0002497	K04082	hscB; molecular chaperone HscB
Pto|1393	PSPTO_1427	OG0000348	K04043	dnaK; molecular chaperone DnaK
Pto|1394	PSPTO_1428	OG0001457	K04755	"fdx; ferredoxin, 2Fe-2S"
Pto|1395	PSPTO_1429	OG0002496		
Pto|1396	PSPTO_1430	OG0000978	K00940	ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]
Pto|1397	PSPTO_1431	OG0001115	K06941	rlmN; 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]
Pto|1398	PSPTO_1432	OG0000217	K02656	pilF; type IV pilus assembly protein PilF
Pto|1399	PSPTO_1433	OG0001716	K15539	rodZ; cytoskeleton protein RodZ
Pto|1400	PSPTO_1434	OG0001225	K03526	gcpE; (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]
Pto|1401	PSPTO_1435	OG0000765	K01892	HARS; histidyl-tRNA synthetase [EC:6.1.1.21]
Pto|1402	PSPTO_1436	OG0002061		
Pto|1403	PSPTO_1437	OG0001456	K17713	bamB; outer membrane protein assembly factor BamB
Pto|1404	PSPTO_1438	OG0000977	K03977	engA; GTPase
Pto|1406	PSPTO_1440	OG0000683	K14287	ybdL; methionine transaminase [EC:2.6.1.88]
Pto|1407	PSPTO_1441	OG0000095	K13566	NIT2; omega-amidase [EC:3.5.1.3]
Pto|1409	PSPTO_1443	OG0003297	K01003	bcpA; oxaloacetate decarboxylase [EC:4.1.1.112]
Pto|1410	PSPTO_1444	OG0000682	K01649	leuA; 2-isopropylmalate synthase [EC:2.3.3.13]
Pto|1411	PSPTO_1445	OG0000130	K06194	nlpD; lipoprotein NlpD
Pto|1412	PSPTO_1446	OG0001224	K03601	xseA; exodeoxyribonuclease VII large subunit [EC:3.1.11.6]
Pto|1414	PSPTO_1448	OG0003529		
Pto|1415	PSPTO_1449	OG0000976	K00088	IMPDH; IMP dehydrogenase [EC:1.1.1.205]
Pto|1416	PSPTO_1450	OG0000975	K01951	guaA; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
Pto|1417	PSPTO_1451	OG0002574		
Pto|1418	PSPTO_1452			
Pto|1419	PSPTO_1453	OG0003530	K00692	sacB; levansucrase [EC:2.4.1.10]
Pto|1420	PSPTO_1454	OG0000337	K01273	DPEP; membrane dipeptidase [EC:3.4.13.19]
Pto|1421	PSPTO_1455	OG0002818		
Pto|1422	PSPTO_1456	OG0000429	K14588	cueO; blue copper oxidase
Pto|1424	PSPTO_1458	OG0002495	K18691	mltF; membrane-bound lytic murein transglycosylase F [EC:4.2.2.-]
Pto|1425	PSPTO_1459	OG0000516	K01952	purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
Pto|1426	PSPTO_1460	OG0001585		
Pto|1427	PSPTO_1461	OG0001855		
Pto|1428	PSPTO_1462	OG0000406		
Pto|1430	PSPTO_1464	OG0001223		
Pto|1431	PSPTO_1465	OG0000373		
Pto|1432	PSPTO_1466	OG0000630	K06938	uncharacterized protein
Pto|1433	PSPTO_1467	OG0003525	K09125	uncharacterized protein
Pto|1434	PSPTO_1468	OG0001854	K08289	purT; phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]
Pto|1435	PSPTO_1469	OG0000017	K03762	"proP; MFS transporter, MHS family, proline/betaine transporter"
Pto|1436	PSPTO_1470	OG0002752		
Pto|1437	PSPTO_1471	OG0001853	K02497	hemX; HemX protein
Pto|1438	PSPTO_1472	OG0000974	K03106	SRP54; signal recognition particle subunit SRP54 [EC:3.6.5.4]
Pto|1439	PSPTO_1473	OG0001114	K02959	RP-S16; small subunit ribosomal protein S16
Pto|1440	PSPTO_1474	OG0000973	K02860	rimM; 16S rRNA processing protein RimM
Pto|1441	PSPTO_1475	OG0000972	K00554	trmD; tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
Pto|1442	PSPTO_1476	OG0000971	K02884	RP-L19; large subunit ribosomal protein L19
Pto|1444	PSPTO_1478	OG0000148	K03733	xerC; integrase/recombinase XerC
Pto|1445	PSPTO_1479	OG0001584	K03981	dsbC; thiol:disulfide interchange protein DsbC [EC:5.3.4.1]
Pto|1446	PSPTO_1480	OG0000639	K00003	hom; homoserine dehydrogenase [EC:1.1.1.3]
Pto|1447	PSPTO_1481	OG0001156	K01733	thrC; threonine synthase [EC:4.2.3.1]
Pto|1448	PSPTO_1482	OG0001041	K07679	"evgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]"
Pto|1449	PSPTO_1483	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
Pto|1450	PSPTO_1484	OG0000009	K07687	"rcsB; two-component system, NarL family, captular synthesis response regulator RcsB"
Pto|1451	PSPTO_1485	OG0003524		
Pto|1452	PSPTO_1486	OG0003885		
Pto|1453	PSPTO_1487	OG0002059		
Pto|1454	PSPTO_1488	OG0001113	K07462	recJ; single-stranded-DNA-specific exonuclease [EC:3.1.-.-]
Pto|1455	PSPTO_1489	OG0000300	K00354	E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]
Pto|1456	PSPTO_1490	OG0000053	K13587	"cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]"
Pto|1457	PSPTO_1491	OG0001776		
Pto|1458	PSPTO_1492	OG0000412		
Pto|1459	PSPTO_1493	OG0002972	K13487	wspA; methyl-accepting chemotaxis protein WspA
Pto|1460	PSPTO_1494	OG0002973	K13488	wspB; chemotaxis-related protein WspB
Pto|1461	PSPTO_1495	OG0002974	K13486	wspC; chemotaxis protein methyltransferase WspC
Pto|1462	PSPTO_1496	OG0002975	K13489	wspD; chemotaxis-related protein WspD
Pto|1463	PSPTO_1497	OG0002976	K13490	"wspE; two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE"
Pto|1464	PSPTO_1498	OG0002977	K13491	"wspF; two-component system, chemotaxis family, response regulator WspF [EC:3.1.1.61]"
Pto|1465	PSPTO_1499	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
Pto|1466	PSPTO_1500	OG0001668	K02836	prfB; peptide chain release factor 2
Pto|1467	PSPTO_1501	OG0000864	K04567	"KARS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]"
Pto|1468	PSPTO_1502	OG0001979		
Pto|1469	PSPTO_1503	OG0002181		
Pto|1470	PSPTO_1504	OG0000709	K06889	uncharacterized protein
Pto|1471	PSPTO_1505	OG0003349		
Pto|1472	PSPTO_1506	OG0000072	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
Pto|1473	PSPTO_1507	OG0003350		
Pto|1474	PSPTO_1508	OG0001287	K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
Pto|1475	PSPTO_1509	OG0001032	K00939	adk; adenylate kinase [EC:2.7.4.3]
Pto|1476	PSPTO_1510	OG0000865	K14742	tsaB; tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
Pto|1477	PSPTO_1511	OG0003352		
Pto|1478	PSPTO_1512	OG0000334		
Pto|1479	PSPTO_1513	OG0002183		
Pto|1480	PSPTO_1514	OG0003353		
Pto|1481	PSPTO_1515	OG0001980	K15984	rsmJ; 16S rRNA (guanine1516-N2)-methyltransferase [EC:2.1.1.242]
Pto|1484	PSPTO_1518	OG0002411		
Pto|1485	PSPTO_1519	OG0003354	K09914	putative lipoprotein
Pto|1486	PSPTO_1520	OG0002184	K00631	plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
Pto|1487	PSPTO_1521	OG0003355		
Pto|1488	PSPTO_1522	OG0002185	K00563	rlmA1; 23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]
Pto|1489	PSPTO_1523	OG0000168	K01438	argE; acetylornithine deacetylase [EC:3.5.1.16]
Pto|1490	PSPTO_1524	OG0002668		
Pto|1491	PSPTO_1525	OG0001288	K22132	tcdA; tRNA threonylcarbamoyladenosine dehydratase
Pto|1492	PSPTO_1526	OG0001417	K02426	sufE; cysteine desulfuration protein SufE
Pto|1493	PSPTO_1527	OG0000866	K11717	sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
Pto|1494	PSPTO_1528	OG0002669	K00674	"dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
Pto|1495	PSPTO_1529	OG0000589	K16509	spxA; regulatory protein spx
Pto|1496	PSPTO_1530	OG0005820		
Pto|1497	PSPTO_1531	OG0002412	K14267	dapC; N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17]
Pto|1498	PSPTO_1532	OG0001804	K00990	glnD; [protein-PII] uridylyltransferase [EC:2.7.7.59]
Pto|1499	PSPTO_1533	OG0000294	K01265	map; methionyl aminopeptidase [EC:3.4.11.18]
Pto|1500	PSPTO_1534	OG0000867	K02967	RP-S2; small subunit ribosomal protein S2
Pto|1501	PSPTO_1535	OG0001033	K02357	tsf; elongation factor Ts
Pto|1502	PSPTO_1536	OG0000868	K09903	pyrH; uridylate kinase [EC:2.7.4.22]
Pto|1503	PSPTO_1537	OG0000869	K02838	frr; ribosome recycling factor
Pto|1504	PSPTO_1538	OG0000651	K00806	uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]
Pto|1505	PSPTO_1539	OG0000870	K00981	E2.7.7.41; phosphatidate cytidylyltransferase [EC:2.7.7.41]
Pto|1506	PSPTO_1540	OG0001173	K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
Pto|1507	PSPTO_1541	OG0000871	K11749	rseP; regulator of sigma E protease [EC:3.4.24.-]
Pto|1508	PSPTO_1542	OG0001143	K07277	SAM50; outer membrane protein insertion porin family
Pto|1509	PSPTO_1543	OG0002670	K06142	hlpA; outer membrane protein
Pto|1510	PSPTO_1544	OG0000872	K02536	lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
Pto|1511	PSPTO_1545	OG0000873	K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
Pto|1512	PSPTO_1546	OG0001289	K00677	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
Pto|1513	PSPTO_1547	OG0001418	K00748	lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
Pto|1514	PSPTO_1548	OG0000874	K03470	rnhB; ribonuclease HII [EC:3.1.26.4]
Pto|1515	PSPTO_1549	OG0000225	K02337	dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]
Pto|1516	PSPTO_1550	OG0001174	K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
Pto|1517	PSPTO_1551	OG0001175	K04075	tilS; tRNA(Ile)-lysidine synthase [EC:6.3.4.19]
Pto|1518	PSPTO_1552	OG0000728	K01937	pyrG; CTP synthase [EC:6.3.4.2]
Pto|1519	PSPTO_1553	OG0000875	K01627	kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
Pto|1520	PSPTO_1554	OG0000591	K01689	ENO; enolase [EC:4.2.1.11]
Pto|1521	PSPTO_1555	OG0001981	K05589	ftsB; cell division protein FtsB
Pto|1522	PSPTO_1556	OG0001419	K00991	ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
Pto|1523	PSPTO_1557	OG0000006		
Pto|1524	PSPTO_1558	OG0001034	K00121	frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
Pto|1525	PSPTO_1559	OG0001420	K01070	frmB; S-formylglutathione hydrolase [EC:3.1.2.12]
Pto|1526	PSPTO_1560	OG0001176	K01770	"ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]"
Pto|1527	PSPTO_1561	OG0002413	K06176	truD; tRNA pseudouridine13 synthase [EC:5.4.99.27]
Pto|1528	PSPTO_1562	OG0001290	K03787	surE; 5'-nucleotidase [EC:3.1.3.5]
Pto|1529	PSPTO_1563	OG0001035	K00573	E2.1.1.77; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]
Pto|1530	PSPTO_1564	OG0000130	K06194	nlpD; lipoprotein NlpD
Pto|1531	PSPTO_1565	OG0000368	K03086	rpoD; RNA polymerase primary sigma factor
Pto|1534	PSPTO_1568			
Pto|1536	PSPTO_1570			
Pto|1537	PSPTO_1571			
Pto|1539	PSPTO_1573			
Pto|1540	PSPTO_1574	OG0001485	K16053	ybdG; miniconductance mechanosensitive channel
Pto|1541	PSPTO_1575	OG0000216		
Pto|1543	PSPTO_1577	OG0002925		
Pto|1544	PSPTO_1578	OG0000006		
Pto|1546	PSPTO_1580	OG0001509	K06889	uncharacterized protein
Pto|1547	PSPTO_1581	OG0003173		
Pto|1548	PSPTO_1582	OG0001461	K14189	dltE; uncharacterized oxidoreductase [EC:1.-.-.-]
Pto|1549	PSPTO_1583	OG0000267	K13573	pafC; proteasome accessory factor C
Pto|1550	PSPTO_1584	OG0006802		
Pto|1551	PSPTO_1585	OG0006429	K02030	ABC.PA.S; polar amino acid transport system substrate-binding protein
Pto|1553	PSPTO_1587	OG0000051	K05592	deaD; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]
Pto|1554	PSPTO_1588	OG0003232		
Pto|1555	PSPTO_1589	OG0003233		
Pto|1556	PSPTO_1590	OG0001742		
Pto|1558	PSPTO_1592	OG0006387		
Pto|1559	PSPTO_1593	OG0001927	K00243	uncharacterized protein
Pto|1560	PSPTO_1594	OG0002588		
Pto|1563	PSPTO_1597	OG0000265	K07058	membrane protein
Pto|1564	PSPTO_1598	OG0000243	K01462	PDF; peptide deformylase [EC:3.5.1.88]
Pto|1565	PSPTO_1599	OG0002253		
Pto|1566	PSPTO_1600	OG0002218	K02002	proX; glycine betaine/proline transport system substrate-binding protein
Pto|1567	PSPTO_1601	OG0006385		
Pto|1568	PSPTO_1602	OG0004505	K03365	FCY1; cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]
Pto|1569	PSPTO_1603			
Pto|1570	PSPTO_1604	OG0002144	K19707	rsbQ; sigma-B regulation protein RsbQ
Pto|1571	PSPTO_1605	OG0000159	K07636	"phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]"
Pto|1572	PSPTO_1606	OG0000159	K07636	"phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]"
Pto|1573	PSPTO_1607	OG0003781		
Pto|1574	PSPTO_1608	OG0000710	K21430	yliI; aldose sugar dehydrogenase [EC:1.1.5.-]
Pto|1575	PSPTO_1609	OG0001109		
Pto|1576	PSPTO_1610	OG0002217	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
Pto|1578	PSPTO_1612	OG0001166		
Pto|1581	PSPTO_1615	OG0002352		
Pto|1582	PSPTO_1616	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
Pto|1583	PSPTO_1617	OG0000158	K19577	"ydhP; MFS transporter, DHA1 family, inner membrane transport protein"
Pto|1584	PSPTO_1618	OG0000006		
Pto|1585	PSPTO_1619	OG0003438		
Pto|1586	PSPTO_1620	OG0000732	K04754	mlaA; phospholipid-binding lipoprotein MlaA
Pto|1587	PSPTO_1621	OG0003389		
Pto|1589	PSPTO_1623	OG0001186		
Pto|1590	PSPTO_1624	OG0000122	K14393	actP; cation/acetate symporter
Pto|1591	PSPTO_1625	OG0002891		
Pto|1593	PSPTO_1627	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
Pto|1596	PSPTO_1630	OG0002892	K09898	uncharacterized protein
Pto|1597	PSPTO_1631	OG0002595		
Pto|1598	PSPTO_1632	OG0002126	K03802	cphA; cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
Pto|1599	PSPTO_1633	OG0000629	K01953	asnB; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
Pto|1601	PSPTO_1635	OG0002996		
Pto|1602	PSPTO_1636	OG0002355		
Pto|1603	PSPTO_1637	OG0002354	K02004	ABC.CD.P; putative ABC transport system permease protein
Pto|1604	PSPTO_1638	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
Pto|1605	PSPTO_1639	OG0001496	K15461	mnmC; tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein [EC:2.1.1.61 1.5.-.-]
Pto|1606	PSPTO_1640	OG0000483	K22468	ppk2; polyphosphate kinase [EC:2.7.4.1]
Pto|1607	PSPTO_1641			
Pto|1608	PSPTO_1642	OG0002590	K09790	uncharacterized protein
Pto|1609	PSPTO_1643	OG0002886	K07039	uncharacterized protein
Pto|1610	PSPTO_1644	OG0000285	K03654	recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
Pto|1611	PSPTO_1645	OG0000011	K06075	"slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin"
Pto|1612	PSPTO_1646	OG0001497	K08086	fimV; pilus assembly protein FimV
Pto|1613	PSPTO_1647			
Pto|1614	PSPTO_1648	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
Pto|1615	PSPTO_1649	OG0000096	K14645	serine protease [EC:3.4.21.-]
Pto|1617	PSPTO_1651	OG0006879		
